目标词,匹配词,相似度,是否匹配
传统糕点,3+4,0.874,True
寓意吉祥,3+3,0.714,False
临水民宿,2+1,0.843,True
江南水乡生活,5+2,1.0,True
温柔时光,5+2,0.812,True
染布,3+3,0.787,True
人潮擁擠,5+2,0.717,False
大片,3+1,0.857,True
人像模式,4+1,0.766,True
錄影,4+1,0.775,True
微風,5+2,0.74,True
快門,4+1,0.769,True
山水,3+1,0.856,True
墨染,3+2,0.966,True
青砖,3+2,0.832,True
商家,2+1,0.707,False
商品同质化,5+1,0.534,False
油墨画,3+3,0.588,False
公交,2+3,0.63,False
观光车,2+3,0.822,True
时间充裕,5+2,0.747,True
私人商家,2+3,0.485,False
踩雷,5+1,0.779,True
自由拍照,4+1,0.85,True
服务,2+3,0.568,False
舒适度,5+1,0.757,True
完美,5+3,0.725,True
江南美景,3+1,0.849,True
交通出行,5+1,0.682,False
造型准备,4+1,0.741,True
古装,3+3,0.767,True
古镇美人,3+5,0.554,False
绿意盎然,3+1,0.76,True
静谧雅致,5+2,0.77,True
月山麻糍坊,2+1,0.768,True
枕水度假酒店,2+1,0.751,True
商务休闲,2+1,0.64,False
古色古香,3+2,0.921,True
宜园精品酒店,2+1,0.723,True
伊甸园铂金酒店,2+1,0.705,False
子夜酒店,2+1,0.656,False
经济型,5+1,0.476,False
艺术大师,3+3,0.682,False
水乡文化,3+3,0.768,True
文艺范,5+2,0.873,True
传统染布工艺,3+3,0.622,False
古代,3+2,0.825,True
互联网国际会展中心,2+1,0.505,False
建筑,3+2,0.708,False
屋顶花园,2+2,0.579,False
江南特色,3+3,0.944,True
桂花酒酿丸子,3+4,0.885,True
船头粽,3+4,0.858,True
葱包桧,3+4,0.752,True
特色菜肴,3+4,0.916,True
一日游,4+1,0.721,True
二日游,4+1,0.757,True
三日游,4+1,0.573,False
闭馆,2+1,0.681,False
游览车,2+3,0.676,False
空气,3+1,1.0,True
清新,5+2,0.839,True
阴天,5+2,0.851,True
千年小镇,3+2,0.822,True
美丽,5+2,0.849,True
魅力,5+3,0.844,True
庭院,3+2,0.616,False
夜间停车,2+3,0.799,True
船票,2+3,0.563,False
红糖发糕,3+4,0.928,True
酱鸭店,3+4,0.923,True
古镇鸭腿,3+4,0.755,True
通济酱粽店,3+4,0.862,True
大肉粽,3+4,0.798,True
桥里桥烧饼铺,2+1,0.744,True
永平粉团铺,3+4,0.848,True
芹菜猪肉春卷,3+4,0.801,True
乌镇鸡煲,3+4,0.858,True
葱爆鳝片,3+4,0.771,True
茅老太臭豆腐,3+4,0.665,False
拍照技巧,5+1,0.503,False
街道,3+2,0.913,True
雨季,3+1,0.601,False
黛青色调,3+2,0.849,True
白色,3+2,0.649,False
墨绿,3+2,0.897,True
青灰,3+2,0.964,True
黑色,3+2,0.736,True
莫兰迪色调,3+2,0.906,True
折扇,3+4,0.902,True
经典拍摄地点,2+3,0.738,True
桥里桥茶馆,2+1,0.764,True
蓝布区,3+2,0.905,True
竹林区,3+1,0.71,False
乌镇簸箕,3+4,0.907,True
桥上,3+2,0.891,True
毛毛雨,3+1,0.61,False
游客不多,5+1,0.362,False
酒坊,2+1,0.863,True
吹笛的小哥,4+1,0.817,True
自由行程,4+1,0.733,True
逛一圈,4+1,0.853,True
找小伙伴,4+1,0.672,False
一起逛gai,4+1,0.73,True
吃饭,2+1,0.79,True
枕水江南,3+5,0.729,True
烟火慢时光,5+2,0.757,True
水墨画卷,3+1,0.64,False
文学气息,5+2,0.727,True
木质结构老宅,3+2,0.811,True
明清古床,3+2,0.764,True
扎染DIY,3+4,0.913,True
道地江南味,3+4,0.906,True
酱爆螺蛳,3+4,0.92,True
慢递明信片,3+4,0.594,False
运河日落,3+1,0.722,True
摇橹船夜游,4+1,0.797,True
推窗即景,3+2,0.652,False
西栅深度游,4+1,0.742,True
文艺体验,5+2,0.788,True
清晨薄雾,3+1,0.607,False
晨光蓝布,3+2,0.87,True
祈福牌,3+3,0.862,True
现代设计,3+2,0.798,True
吴妈妈馄饨,3+4,0.819,True
手作体验,4+1,0.689,False
扎染围巾,3+4,0.669,False
蓝印花布文创,3+4,0.704,False
邮局旁店铺,2+1,0.663,False
大圆弧瀑布,3+1,0.704,False
游览车票,2+3,0.661,False
修建,2+1,0.838,True
围挡,2+3,0.785,True
割裂感,5+2,0.738,True
免费寄存行李,2+3,0.568,False
早市,4+1,0.906,True
免费公交车,2+3,0.561,False
烟火情,5+2,0.959,True
岁月柔情,5+3,0.767,True
历史文化,3+3,0.773,True
光景,5+2,0.832,True
最美,5+3,0.805,True
风情,3+3,0.954,True
特色乌篷船,2+3,0.644,False
民土风情,3+3,0.892,True
夕阳西下,3+1,0.736,True
美不胜收,5+3,0.745,True
古韵风,3+2,0.861,True
江湖感,5+2,0.81,True
年代感,5+2,0.919,True
宝藏,5+3,0.847,True
文化创意,3+3,0.701,False
仙侠世界,3+3,0.843,True
打铁花,3+3,0.743,True
瓷都之乡,3+5,0.773,True
艺术内涵,3+3,0.699,False
古老村落,3+2,0.811,True
晒秋人家,3+3,0.934,True
生机,5+2,0.946,True
徽派建筑,3+2,0.784,True
古老文明,3+3,0.889,True
淳朴民风,5+2,0.798,True
古村镇,3+2,0.906,True
桥影,3+2,0.894,True
行人,4+1,0.811,True
好逛,5+2,0.936,True
刘氏梯号,3+2,0.869,True
乌镇定胜糕,3+4,0.872,True
南浔浔蹄,3+4,0.874,True
状元楼双浇面,3+4,0.614,False
青水白墙灰屋檐,3+2,0.684,False
江南水乡风韵,3+2,0.941,True
淡青色汉服,3+2,0.749,True
景行桥,3+2,0.912,True
吴妈馄饨店,2+1,0.874,True
桂花糕,3+4,0.945,True
商业化规范+精致,5+1,0.501,False
没约上,5+3,0.743,True
现场单点,2+3,0.816,True
吃不完,5+2,0.895,True
很饱,5+2,0.697,False
主打,5+1,0.904,True
自然景观,3+1,0.73,True
文化名人,3+3,0.612,False
明清古建筑群,3+2,0.804,True
现代化设施,2+3,0.65,False
人文景观,3+1,0.783,True
古代小镇,3+2,0.839,True
特色餐厅,2+1,0.905,True
就餐消费,2+1,0.814,True
风格多样,3+2,0.833,True
游人歇息,2+2,0.768,True
河水清绿,3+1,0.652,False
微风拂面,5+2,0.785,True
柳枝轻舞,3+1,0.776,True
时间静止,5+2,0.843,True
江南水乡韵味,3+2,0.794,True
高塔,3+2,0.919,True
古街,3+2,0.921,True
围炉煮茶,2+1,0.712,False
温馨酒店,2+1,0.676,False
农家风景,3+1,0.629,False
地道美食,3+4,1.0,True
温泉私汤,2+3,0.755,True
古镇沉浸式剧本杀,4+1,0.708,False
游玩体验,5+2,0.827,True
住宿客人,2+3,0.717,False
出发时间,4+1,0.785,True
服务中心,2+1,0.505,False
下午,4+1,0.808,True
人流量,5+1,0.661,False
贝多芬特展,3+3,0.745,True
江南婚俗展馆,2+1,0.712,False
徐昌酩画院,2+1,0.915,True
体验项目,4+1,0.58,False
灵水居花园,2+1,0.764,True
画室DIY,2+1,0.687,False
射箭馆,2+1,0.816,True
乌镇特色饮品,3+4,0.793,True
评书场,2+1,0.701,False
杂耍表演,4+1,0.695,False
运河边,3+1,0.871,True
集市,2+1,0.804,True
活动时间表,4+1,0.638,False
错峰坐船,4+1,0.823,True
游船码头,2+3,0.726,True
购票点,2+3,0.674,False
如意桥码头,2+2,0.812,True
排队,4+1,0.733,True
错峰吃饭,4+1,0.787,True
餐馆,2+1,0.9,True
用餐服务,2+3,0.733,True
餐饮统一管理,2+3,0.701,False
质量和口味,3+4,0.749,True
夜晚,5+2,0.857,True
住在景区里,5+2,0.671,False
看到,5+2,0.842,True
素一不二扎染,3+4,0.792,True
好好看,5+3,0.743,True
实惠,5+1,0.654,False
布料,3+4,0.698,False
舒服,5+2,0.841,True
嬢嬢,5+2,0.93,True
热情,5+3,0.833,True
好爱,5+3,0.89,True
长街宴,3+4,0.729,True
细雨绵绵,3+1,0.684,False
乌陶作坊,2+1,0.869,True
国乐剧院,2+1,0.93,True
关帝庙,3+2,0.984,True
益大丝号,3+2,0.943,True
诗画梦境,5+3,0.845,True
岁月沉淀,5+3,0.724,True
诗韵,3+3,0.84,True
江南水镇,3+1,0.898,True
绝美,5+2,0.827,True
青蛇汉服写真,4+1,0.619,False
雨幕,3+1,0.666,False
细雨,3+1,0.671,False
暮色,3+1,0.812,True
水墨残影,3+2,0.782,True
烟雨江南,3+2,0.837,True
古树,3+1,0.881,True
登高望远,4+1,0.748,True
风光,3+1,0.898,True
没火,5+2,0.761,True
江南浪漫,5+2,0.806,True
落日黄昏,3+1,0.769,True
水影斑驳,3+1,0.796,True
华灯初上,5+2,0.88,True
时尚,5+2,0.711,False
古银杏,3+1,0.863,True
壮观,5+2,0.745,True
福善塔,3+2,1.0,True
进塔参观,4+1,0.723,True
电梯,2+3,0.599,False
视野,5+2,0.702,False
寺湾街,2+1,0.722,True
花灯,3+3,0.675,False
福善塔同框,3+2,0.96,True
漱芳禅园,2+1,0.942,True
四面环水,3+1,0.788,True
茶园戏楼,2+1,0.68,False
北更楼,3+2,0.8,True
楼顶,2+2,0.604,False
紫薇花,3+1,0.85,True
新中式,3+2,0.81,True
铃兰咖啡,2+1,0.984,True
幸福感,5+3,0.757,True
闲逛,4+1,0.882,True
蟹黄面,3+4,0.817,True
原住民,3+3,0.799,True
小店,2+1,0.794,True
商业氛围,5+1,0.517,False
临水而居,3+2,0.855,True
快乐,5+3,0.852,True
古街小巷,3+2,0.946,True
神秘,5+3,0.842,True
摇动的船橹,4+1,0.952,True
波动的粼光,3+1,0.861,True
空有无所依的小鱼,5+2,0.675,False
夕阳,3+1,0.729,True
微红,3+1,0.723,True
船夫,4+1,0.842,True
菜品味道,3+4,0.923,True
老字号,3+4,0.796,True
土菜馆,2+1,0.86,True
赞,5+3,0.867,True
点评,5+1,0.812,True
老字号餐厅,2+1,0.844,True
差评,5+1,0.712,False
土著朋友,5+2,0.659,False
回头客,5+2,0.894,True
锅气满满,5+2,0.715,False
分量十足,5+3,0.737,True
店员大姨,2+1,0.771,True
热情好客,5+2,0.815,True
功夫笋尖,3+4,0.886,True
脆爽可口,3+4,0.942,True
新鲜,5+2,0.723,True
五花肉,3+4,0.914,True
无敌下饭,3+4,0.803,True
浓油赤酱,3+4,0.896,True
鸭肉紧实,3+4,0.891,True
鲜嫩,3+4,0.852,True
不柴不腻,3+4,0.668,False
咸香入味,3+4,0.844,True
甜品,3+4,0.908,True
预制菜,3+4,0.772,True
酸菜鱼,3+4,0.923,True
鱼片,3+4,0.903,True
新鲜滑嫩,3+4,0.782,True
鲜美入味,3+4,0.94,True
酸溜溜,3+4,0.824,True
配菜丰富,3+4,0.9,True
土豆粉,3+4,0.83,True
戏剧节,4+1,0.791,True
搭子,4+1,0.945,True
游玩攻略,4+1,0.726,True
诗词的平仄,3+3,0.754,True
春天好好生活节,4+1,0.733,True
水上集市早茶客,4+1,0.816,True
锦记糕点,3+4,0.951,True
石板缝,3+2,0.744,True
厕所,2+3,0.461,False
民宿炒蛋,3+4,0.595,False
晚霞,3+1,0.821,True
春满夜集,4+1,1.0,True
特调,2+1,0.92,True
月明,3+1,0.72,False
梦里,5+3,0.828,True
烟火,5+2,0.954,True
古城,3+2,0.828,True
灰瓦,3+2,0.892,True
风与月,5+3,0.727,True
乌瓦白墙,3+2,0.808,True
画船听雨眠,4+1,0.73,True
议江南,5+3,0.912,True
傩舞,3+3,0.975,True
火舞,4+1,0.822,True
竹鼠热浪乐园小镇夜景,3+1,0.735,True
小丑表演,4+1,0.6,False
狂欢派对,4+1,0.915,True
热闹巡游,4+1,0.721,True
情绪价值,5+3,0.618,False
宫崎骏漫画,3+3,0.828,True
童话火车,2+3,0.53,False
赛博朋克,3+3,0.925,True
白墙黛瓦绿石青阶,3+2,0.783,True
水乡生活画卷,5+2,0.883,True
傩舞火把舞,3+3,0.791,True
火裙舞,4+1,0.758,True
火壶有凤来仪,3+4,0.748,True
空中飞人,4+1,0.689,False
户外livehouse,2+1,0.686,False
窑火狂欢,4+1,0.818,True
开龙窑仪式,3+3,0.8,True
寻味窑工宴,3+4,0.766,True
薪火窑光巡游,4+1,0.696,False
鱼头花灯,3+4,0.826,True
风水池,3+1,0.75,True
湖畔栈桥,3+2,0.811,True
紫砂塔,3+2,0.806,True
龙窑,3+2,0.8,True
茗岭街,2+1,0.811,True
窑湖三宝紫砂糕,3+4,0.758,True
窑湖竹笋汤,3+4,0.769,True
蜜汁炖猪蹄,3+4,0.821,True
宜兴乌米饭,3+4,0.712,False
和桥团子,3+4,0.844,True
古镇文化,3+3,0.904,True
恬适,5+2,0.894,True
景区入口,2+1,0.66,False
引导不规范,5+1,0.65,False
工作人员态度,5+1,0.556,False
商业化严重,5+1,0.385,False
春雨,3+1,0.53,False
江南氛围,5+2,0.934,True
宫崎骏,3+3,0.873,True
花伴旅咖,2+1,0.723,True
玉兰花,3+1,0.938,True
海棠花,3+1,1.0,True
馄饨,3+4,0.896,True
水乡氛围,5+2,0.85,True
画,3+2,0.955,True
乡野气息,5+2,0.802,True
美食派对,3+4,0.73,True
咖啡市集,2+1,0.901,True
人家,3+2,1.0,True
心灵,5+3,0.79,True
归宿,5+3,0.767,True
思绪,5+3,0.847,True
夜,4+1,0.716,False
诗篇,5+3,0.947,True
旅人,4+1,0.806,True
茶食文化,3+4,0.94,True
江南水墨,3+2,0.967,True
百年传承,3+3,0.881,True
非遗,3+3,0.863,True
城市的喧嚣,5+2,0.852,True
现蒸糕点,3+4,0.911,True
江南的晚风,5+2,0.827,True
一壶茶,2+1,0.801,True
一笼糕点,3+4,0.886,True
中国水墨画气息,3+2,0.779,True
石像,3+2,0.681,False
老屋,3+2,0.905,True
文人墨客,3+3,0.814,True
故乡,5+3,0.868,True
交通重镇,3+3,0.745,True
吴越古镇,3+5,0.73,True
地方文化,3+3,0.841,True
完整保留,5+2,0.727,True
高品质服务,5+1,0.564,False
恬淡气质,5+2,0.865,True
江南小巷,3+2,0.921,True
酒店大床,2+1,0.56,False
水乡漫步,4+1,0.87,True
美食暴击,5+2,0.75,True
古街景区,3+2,0.879,True
跨界料理实验室,2+1,0.591,False
江南味蕾地图,3+4,0.824,True
极简光影,5+2,0.879,True
氛围大片,5+2,0.713,False
宝藏餐厅,2+1,0.909,True
牛骨髓蟹黄拌饭,3+4,0.778,True
茶壶奶茶,3+4,0.903,True
南栅老巷,3+2,0.876,True
烟熏牛肉芝士瀑布面,3+4,0.696,False
漂亮酸奶碗,2+3,0.756,True
彩椒芝士汉堡,3+4,0.776,True
特调鸡尾酒,2+3,0.918,True
人潮,5+1,0.851,True
出片玄机,5+2,0.903,True
筷子,3+4,0.645,False
牛骨髓,3+4,0.533,False
舌尖,3+4,1.0,True
时空,5+2,0.706,False
双重穿越,4+1,0.688,False
灵魂,5+3,0.749,True
千百年来的故事,3+3,0.849,True
规模最大,3+2,0.653,False
全面,5+1,0.837,True
三寸金莲鞋,3+4,0.488,False
裹脚,3+3,0.735,True
落泪,5+3,0.626,False
时机,5+2,0.8,True
邂逅,5+3,0.73,True
不真实,5+3,0.802,True
河中,3+1,0.96,True
白墙黑瓦,3+2,0.762,True
隐藏的轮廓,5+3,0.76,True
独特,5+2,0.72,False
诠释,5+3,0.799,True
淋漓尽致,5+3,0.747,True
满满的感动,5+3,0.673,False
大剧院,2+1,0.932,True
年市,3+4,0.846,True
春卷,3+4,0.941,True
宝藏古镇,3+5,0.554,False
唐宋楼阁,3+2,0.849,True
紫藤花海,3+1,0.923,True
人少花多,5+2,0.858,True
时尚古镇,5+2,0.813,True
彩色油纸伞,3+3,0.563,False
宋韵集市,3+4,0.869,True
日系抓拍,4+1,0.862,True
千年银杏,3+1,0.76,True
红墙光影,3+2,0.755,True
禅意,3+3,0.746,True
听雨屋,2+1,0.872,True
传统刺绣,3+3,0.705,False
高定服装,3+4,0.703,False
跨界展览,4+1,0.702,False
春日限定穿搭,5+2,0.677,False
傍晚蓝调时刻,5+2,0.735,True
亭台倒影,3+1,0.759,True
烟气飘飘,5+2,0.947,True
城墙,3+2,0.857,True
俯瞰花海,3+1,0.803,True
紫藤客栈,2+1,0.731,True
珍宝馆,2+1,1.0,True
濮氏,3+3,0.912,True
珍品展品,2+3,0.862,True
濮商会馆,2+1,0.84,True
钱币隧道,2+3,0.661,False
濮绸展品,3+4,0.802,True
银元宝,3+4,0.67,False
舟游濮院,4+1,0.884,True
两岸风景,3+1,0.855,True
私藏江南,5+3,0.837,True
乌镇江南小镇,3+2,0.933,True
悠闲自在,5+2,0.885,True
船,2+3,0.637,False
江南小镇,3+2,0.948,True
南栅老街,3+2,0.889,True
老街道,3+2,0.924,True
车骑人,2+3,0.635,False
快落,5+3,0.725,True
古镇街道,3+2,0.914,True
绿色郊野,3+1,0.597,False
乌镇人少,5+1,0.636,False
满眼绿色,3+1,0.577,False
稻田,3+1,0.617,False
树林,3+1,0.827,True
江浙乡村风情,3+3,0.93,True
幸运,5+3,0.687,False
老牌土菜馆,3+4,0.757,True
老弄堂,3+2,0.923,True
土菜,3+4,0.71,False
色香味俱全,3+4,0.846,True
分量实在,5+1,0.774,True
服务员大姨,2+3,0.68,False
现点现做,3+4,0.841,True
锅气十足,5+2,0.835,True
人均几十块,5+1,0.299,False
东坡肉,3+4,0.707,False
软糯可口,3+4,0.92,True
咸甜入味,3+4,0.923,True
吃不腻,5+2,0.806,True
分量足,3+4,0.666,False
下饭,3+4,0.848,True
肥瘦相间,3+4,0.676,False
层次感,3+2,0.814,True
西红柿蛋汤,3+4,0.841,True
浓郁,5+2,0.909,True
滑嫩,3+4,0.936,True
鸡蛋,3+4,0.504,False
酸甜可口,3+4,0.926,True
西红柿,3+4,0.648,False
简简单单的幸福,5+3,0.712,False
河虾,3+4,0.717,False
野生河虾,3+4,0.64,False
品质很好,5+2,0.638,False
个头,5+2,0.892,True
肉质紧实,3+4,0.651,False
饱满,5+2,0.713,False
鲜甜可口,3+4,0.945,True
适配度,5+1,0.761,True
老宅,3+2,0.76,True
博物馆,2+1,0.943,True
王大妈面馆,2+1,0.822,True
隐藏版美食,3+4,0.761,True
阳台,2+2,0.66,False
江南气息,5+2,0.955,True
欢迎礼盒,2+3,0.626,False
早餐,3+4,0.615,False
夜游乌镇,4+1,0.755,True
原创,5+3,0.8,True
客片,4+1,0.771,True
风格,3+2,0.891,True
姿势,4+1,0.824,True
水乡灵魂,3+5,0.647,False
东栅晨光,3+1,0.761,True
江南烟火气,5+2,0.831,True
极简建筑,3+2,0.709,False
芦苇荡,3+1,0.819,True
蓝染布,3+4,0.621,False
古镇专属邮戳,3+3,0.71,False
南栅慢生活,5+2,0.58,False
烟雨江南咖啡,2+1,0.861,True
手艺人作坊,2+1,0.86,True
蚕丝被制作,3+4,0.699,False
自制方巾,3+4,0.746,True
西栅包摇橹船,2+3,0.646,False
提灯夜游,4+1,0.854,True
灯火星河,3+1,0.598,False
免费纸灯笼,2+3,0.688,False
露天电影,4+1,0.807,True
北斗湾,3+1,0.747,True
水边观影氛围感,5+2,0.743,True
戏剧表演,4+1,0.752,True
妈妈的故事,5+3,0.572,False
倾情演绎,4+1,0.82,True
感人,5+3,0.886,True
值得一看,5+3,0.672,False
意境,5+3,0.854,True
演员,4+1,0.712,False
茶咖,2+1,0.836,True
江南慢生活,5+2,0.757,True
临河,2+2,0.676,False
饭馆,2+1,0.927,True
竹蜻蜓,3+4,0.801,True
调酒,2+1,0.866,True
调酒师,2+1,0.787,True
骨髓松茸饭,3+4,0.641,False
三白,3+4,0.829,True
驻唱,4+1,0.888,True
二次方咖啡吧,2+1,0.913,True
遗迹,3+2,0.812,True
守护神,3+3,0.807,True
银杏树,3+1,0.859,True
