评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3
时间2025年3月12日到2025年3月17日交通高铁??往返住宿绍兴鲁迅故里奇遇?陶然酒店(仓桥直街店)行程安排第一天阴雨高铁??到达入住后已将近下午四点了所以只安排了相对边缘位置的犭央犭茶湖避塘图1第二天阴雨??鲁迅故里景区图2从百草园到三味书屋蹭导游的快乐????沈氏园图3白天游客不多整体园子不算惊艳听说夜游会有表演互动性更强??八字桥图4照片非同一天拍摄古代立交桥古人的智慧??西小路饭后骑小黄车路过城市广场图5第三天   阴雨??书圣故里景区图6先爬了个蕺山-故里内景点-蔡元培故居装修停止进入-孑民图书馆蕺山上的文笔塔登顶环顾整个绍兴市算意外收获打卡奶油小攀面饽饽印糕黄酒奶茶老爷爷书店???瓜渚湖图7?  导航至瓜渚湖东岸公园樱花预计三月底开湖边郁金香??真的不错到时樱花开了和郁金香同框会更好???安昌古镇图8傍晚到的还能看个古镇亮灯可能是淡季缘故到古镇的时候仁昌酱油已暂停营业自助买了个酱油冰淇淋???迎恩门风情街图9第四天   阴雨???柯岩风景区没有买船票慢慢逛8字路线值回票价[doge]柯岩图10主要是天工大佛和云骨蹭个研学班边逛边听鉴湖图11环湖风景不错鲁镇图12淡季逛鲁镇缺乏互动性第五天  多云间晴有阵雨???府山公园图13???黄酒小镇图14解锁了蒸双臭越酿工坊的甜酒酿不错?爱心树机位很出片???塔山集齐了绍兴市区三山蕺山府山塔山三塔文笔塔大善塔应天塔??绍兴博物馆??上大路图15第六天???东湖图16传说中的大盆景也是被航拍吸引来的?先走了没人走的上山路线绝对要避雷[暗中观察R]因为上面除了有一片茶园往下看几乎什么都看不见下来要等免费摆渡船接到对岸乌篷船只多看一个从外面看不到的陶公洞坐井观天喇叭洞和仙桃洞还不如岸边看的清楚而且乘船也没讲解匆匆而过整个景区实际不大个人觉得性价比不算高?午饭后又穿过??仓桥直街图17照片非同一天拍摄在绘景轩买了一坛酒乳黄酒拿铁和毛茸茸的臭豆腐[害羞R]下午高铁??返程总之绍兴适合慢慢逛喜欢雨后香樟树的味道...,1,古镇原貌,商业水平不高,童年的梦
总要下一趟真江南吧48h反向旅游之绍兴深度游2025.03.31 ??,7,"真江南,反向旅游,绍兴深度游",,
时间2025年3月12日到2025年3月17日交通高铁??往返住宿绍兴鲁迅故里奇遇?陶然酒店(仓桥直街店)行程安排第一天阴雨高铁??到达入住后已将近下午四点了所以只安排了相对边缘位置的犭央犭茶湖避塘图1第二天阴雨??鲁迅故里景区图2从百草园到三味书屋蹭导游的快乐????沈氏园图3白天游客不多整体园子不算惊艳听说夜游会有表演互动性更强??八字桥图4照片非同一天拍摄古代立交桥古人的智慧??西小路饭后骑小黄车路过城市广场图5第三天   阴雨??书圣故里景区图6先爬了个蕺山-故里内景点-蔡元培故居装修停止进入-孑民图书馆蕺山上的文笔塔登顶环顾整个绍兴市算意外收获打卡奶油小攀面饽饽印糕黄酒奶茶老爷爷书店???瓜渚湖图7?  导航至瓜渚湖东岸公园樱花预计三月底开湖边郁金香??真的不错到时樱花开了和郁金香同框会更好???安昌古镇图8傍晚到的还能看个古镇亮灯可能是淡季缘故到古镇的时候仁昌酱油已暂停营业自助买了个酱油冰淇淋???迎恩门风情街图9第四天   阴雨???柯岩风景区没有买船票慢慢逛8字路线值回票价[doge]柯岩图10主要是天工大佛和云骨蹭个研学班边逛边听鉴湖图11环湖风景不错鲁镇图12淡季逛鲁镇缺乏互动性第五天  多云间晴有阵雨???府山公园图13???黄酒小镇图14解锁了蒸双臭越酿工坊的甜酒酿不错?爱心树机位很出片???塔山集齐了绍兴市区三山蕺山府山塔山三塔文笔塔大善塔应天塔??绍兴博物馆??上大路图15第六天???东湖图16传说中的大盆景也是被航拍吸引来的?先走了没人走的上山路线绝对要避雷[暗中观察R]因为上面除了有一片茶园往下看几乎什么都看不见下来要等免费摆渡船接到对岸乌篷船只多看一个从外面看不到的陶公洞坐井观天喇叭洞和仙桃洞还不如岸边看的清楚而且乘船也没讲解匆匆而过整个景区实际不大个人觉得性价比不算高?午饭后又穿过??仓桥直街图17照片非同一天拍摄在绘景轩买了一坛酒乳黄酒拿铁和毛茸茸的臭豆腐[害羞R]下午高铁??返程总之绍兴适合慢慢逛喜欢雨后香樟树的味道...,1,古镇原貌,商业水平不高,童年的梦
Hey小伙伴们今天带你们走进一个隐藏版的江南水乡绍兴安昌古镇??这里没有乌镇西塘的喧嚣却有着最地道的江南风情和浓浓的生活气息安昌古镇位于绍兴市柯桥区是一座有着千年历史的古镇这里的古桥古街古民居仿佛都在诉说着古老的故事漫步在青石板铺就的小巷两旁是保存完好的明清建筑古色古香仿佛穿越回了那个年代最让人心动的是这里的居民依然保持着传统的生活方式你可以看到老奶奶在河边洗衣服老爷爷在门口晒太阳生活节奏慢得让人羡慕而且这里的特色小吃也是一绝安昌腊肠酱鸭臭豆腐每一样都让人垂涎三尺??如果你厌倦了城市的喧嚣想要寻找一份宁静那么安昌古镇绝对是你的不二之选来这里放慢脚步感受江南水乡的独特魅力吧以上文案由deepseek自主生成但实际上和我想要撰写的大部分一致古镇的停车场很大比较好停车天气好的时候去那里逛逛挺好沿街售卖的大多是小吃且价格都很实惠味道不大踩雷可以放心购入这次没有进入需要收费的景点展览馆那些只逛古镇就已经相当舒适了不过中老年人可能还是会觉得有点商业化浓厚我个人体感是还好?,8,"隐藏版,江南水乡,绍兴安昌古镇,喧嚣,地道,江南风情,生活气息,千年历史,古桥,古街,古民居,古老的故事,青石板,小巷,明清建筑,古色古香,传统的生活方式,河边洗衣服,门口晒太阳,生活节奏慢,特色小吃,安昌腊肠,酱鸭,臭豆腐,城市的喧嚣,宁静,停车场,价格实惠,味道不大踩雷,舒适,商业化",,
鲁迅IP形象好可爱哈哈哈在三味书屋看到了早字安昌古镇也去转了一圈比绍兴市人少多啦扬州何园个园还有瘦西湖也好美[哇R],9,"鲁迅IP形象,三味书屋,早字,安昌古镇,人少,扬州何园,个园,瘦西湖",,
最后一天喽今天行程比较简单 下午就回上海了上午去的大禹陵~羸弱的人不想爬九百多阶台阶于是随便拍拍和好朋友们写了许愿牌在许愿池里投了硬币下午去了好远好远的安昌古镇看不懂 全是猪头肉和鹌鹑肉就这古镇我竟然还是第二次来了好吧 买了根见了无数遍的黄酒棒冰 也算来过了貌似回去就要高三了,4,"古镇,黄酒棒冰",,
安昌民间灌腊肠的传统始于明朝明嘉靖年间当时镇上一位大户人家的老爷好食肉类久而久之雇佣的厨子因变化不出新的烹制方法而被屡屡辞退新来的王丫环情急之中将日常做菜留下的猪下水和肉末做成的本留给自己食用的肉肠拿出不料老爷食后大喜厨师得以留用一传十十传百王丫环用猪肉灌肠的事很快传遍安昌的街头巷尾老百姓纷纷效制作为过年招待亲友的必备菜因腊肠又香又长又圆也取意岁岁团圆?,8,"安昌, 腊肠, 明朝, 明嘉靖年间, 大户人家, 老爷, 厨子, 王丫环, 猪下水, 肉末, 肉肠, 街头巷尾, 老百姓, 过年, 亲友, 必备菜, 岁岁团圆",,
它就是酱油-天气渐冷?又到了绍兴人开始做酱货的时候尤其是走在安昌古镇????到处都飘满了酱香味~而这些美味??就来源于仁昌酱园里独特的制作技艺-??仁昌酱园始建于清朝光绪18年距今已经有一百多年的历史如今被列为浙江省非遗传承基地??-酱园里排列着上百支硕大的酱缸可以零距离参观晒酱制酱过程运气好的话还能见到工人开盖搅拌??-参观完酱园还可以逛逛古镇老街品尝酱货感受安昌特有的水乡风情?-?仁昌酱园???地址环镇南路安昌镇7号安昌古镇内??开放时间07:30-17:30??门票免费-?安昌古镇???地址绍兴市柯桥区安华北路安昌古镇??开放时间全天??门票古镇大门票免费古镇内景点联票40r/人??出行绍兴地铁1号线中国轻纺城站直接打车15分钟抵达或乘坐公交816/805路-,9,"酱香味,仁昌酱园,独特制作技艺,浙江省非遗传承基地,上百支硕大酱缸,零距离参观,晒酱制酱过程,工人开盖搅拌,古镇老街,酱货,水乡风情",,
公交地铁花费120分钟从市中心到上海最边缘的古镇老街逛逛位于奉贤的青溪老街被许多游客吐槽最多的老街古镇诸如根本不能和青浦朱家角金山枫泾古镇南汇新场古镇同日而语是一个彻头彻尾的新建假古镇作为一个古镇爱好者已去过上海大部分古镇苏州的木渎周庄锦溪黎里绍兴的安昌古镇桐乡乌镇相比之下青溪老街的确显得体量小甚至商业氛围也一般距离市中心交通不便西街区有知名书法家张弼的功德牌坊张弼的一首陶溪八景总咏流传至今让后人心向往之这处牌坊如今是非移动文物矗立在一隅似乎默默地述说着当年青溪文化的辉煌青溪体量虽小但一步一景整个老街依然有当地原住民居住在此傍河依水喧嚣中夹杂着宁静老街上的屋里厢汤圆店生意最好味道最好奉贤阿姨说他们是水磨粉制作五元一只选了黑芝麻口味果然香糯一尺花园是一定要光顾的因为园中景是一大特点曲径通幽非周末来青溪老街享慢生活的游客络绎不绝,1,"青溪老街,奉贤,张弼,功德牌坊,陶溪八景总咏,非移动文物,青溪文化,体量虽小,一步一景,原住民,傍河依水,喧嚣,宁静,屋里厢汤圆店,水磨粉,黑芝麻,香糯,一尺花园,园中景,曲径通幽,慢生活",,
来安昌古镇提前过年啦满街都是腊肠酱鸭年味氛围浓厚到没话说??不愧上过央视 被国家地理推荐-尤其推荐坐乌篷船逛古镇能把两岸人家的烟火气尽收眼底??原汁原味的绍兴民俗风情??都在这里具象化了-?游玩攻略?-?美食印糕 扯白糖 师爷馄饨黄酒 臭豆腐 酒酿馒头都实惠又好吃 很值得一试~还有满街的酱鸭腊肠特别适合买回家当年货??-?景点在古镇还可以逛逛特色景点比如仁昌酱园绍兴师爷博物馆石雕馆城隍殿中国银行旧址沉浸式体验绍兴古镇的水乡风情?仁昌酱园免费部分景点需要买联票哦~-??地址绍兴市柯桥区安华北路安昌古镇??开放时间全天??门票古镇大门票免费古镇内景点联票40r/人??乌篷船40r/船可以坐3人??出行绍兴地铁1号线中国轻纺城站直接打车15分钟抵达或乘坐公交816/805路-,9,"腊肠,酱鸭,年味,央视,国家地理,乌篷船,两岸人家,烟火气,原汁原味,绍兴民俗风情,印糕,扯白糖,师爷馄饨,黄酒,臭豆腐,酒酿馒头,实惠,好吃,酱鸭腊肠,年货,仁昌酱园,绍兴师爷博物馆,石雕馆,城隍殿,中国银行旧址,水乡风情",,
我更爱这些被遗忘的江南古镇.,9,"被遗忘,江南古镇",,
春天旅行到江南温婉的到苏州文雅的到绍兴??一条视频告诉你绍兴要怎么玩?????怎么去绍兴1??坐高铁绍兴北站??Tips绍兴北站目前还没通地铁哦坐地铁需要坐1号线大庆寺站的接驳车?630221015分钟一班2??杭州的小伙伴可以坐地铁直达绍兴哦??住宿选择绍兴老城区的地铁1号线沿线??景点多??选择多??交通方便??路线Day1??鲁迅纪念馆百草园三味书屋沈园东湖Day2??府山直街八 字桥书圣故里安昌古镇?Day1????鲁迅故里??游览路线鲁迅纪念馆-鲁迅故居三味书屋鲁迅祖居就像走进课本里真的很奇妙?8302100??免费但要预约哦??沈园?8001700??40??东湖??水杉林码头??秦桥??仙桃洞??喇叭洞??霞川桥??陶公洞??二号码头乘船??40包船??200?8001700??50??仓桥直街绍兴的南锣鼓巷满满的商业气息Day2????府山直街此起彼伏的叫卖声是热气腾腾的生活??八 字桥小桥流水乌篷船这里才是真实的绍兴??书圣故里小桥流水粉墙黛瓦可以拍汉服和簪花哦??路线老爷爷的书店墨池书圣故里躲婆巷咏梅诗廊蕺坊桥题扇桥??安昌古镇??乌篷船?8:00-16:30??40??古戏台旁和民俗风情馆旁??不回头游览路线正大门??清风第1廊??城隍殿??穗康钱庄??石雕馆??天官第米厂旧址??绍兴宣卷馆??师爷馆??安昌民俗风情馆??安康寺??中国银 行旧址??仁昌酱园??507个景点米厂旧址仁昌酱园免费参观???还有好多好吃的1??臭豆腐??王老汉臭豆腐2??面饽饽??朝秀早餐店3??糯叽叽??香又脆芝麻糖4??绍兴本地面??杭州佬面馆5??鱼圆水饺??老绍兴水饺6??绍兴本地菜??河埠头??丰乐饭店,9,"古镇原貌,商业水平不高,童年的梦,小桥流水,乌篷船,真实的绍兴,粉墙黛瓦,汉服,簪花,老爷爷的书店,墨池,书圣故里,躲婆巷,咏梅诗廊,蕺坊桥,题扇桥,古戏台,民俗风情馆,清风第1廊,城隍殿,穗康钱庄,石雕馆,天官第,米厂旧址,绍兴宣卷馆,师爷馆,安昌民俗风情馆,安康寺,中国银行旧址,仁昌酱园",,
小桥流水乌篷船熏鸭腊肉晒鱼干今天给宝子们整理了一下浙江闭环旅行攻略宝子们喜欢就赶紧点赞收藏加关注啊免得用的时候找不到了大环线上海嘉兴杭州绍兴宁波舟山宁波台州温州丽水金华杭州上海城市路线及推荐景点上海豫园上海老城隍庙外滩和平饭店南京路步行街黄河路武康路陆家嘴外滩夜景酒店嘉兴乌镇西塘古镇杭州 西湖断桥残雪曲院风荷苏提春晓雷锋塔景点推荐西湖三潭印月雷峰塔灵隐寺宋城千岛湖绍兴会稽山王羲之的兰亭序鲁迅故里周恩来故居安昌古镇崇仁古镇沈园东湖西施故居宁波天一阁南塘老街月湖公园舟山东极岛普陀山普济禅寺台州天台山风景区国清寺神仙居温州雁荡山南鹿岛义乌小商品市场丽水云和梯田岩宕书屋古堰画乡应星楼金华横店影视城大红岩风景区小提示舟山如果觉得远可以忽略掉横店影视城和义乌小商品市场还是值得去体验一下的雁荡山可以根据跟人体力选择,8,"小桥流水,乌篷船,熏鸭,腊肉,晒鱼干,西塘古镇,嘉兴,乌镇,西湖,断桥残雪,曲院风荷,苏提春晓,雷锋塔,三潭印月,灵隐寺,宋城,千岛湖,会稽山,兰亭序,鲁迅故里,周恩来故居,安昌古镇,崇仁古镇,沈园,东湖,西施故居,天一阁,南塘老街,月湖公园,东极岛,普陀山,普济禅寺,天台山风景区,国清寺,神仙居,雁荡山,南鹿岛,云和梯田,岩宕书屋,古堰画乡,应星楼,横店影视城,大红岩风景区",,
-??关于路线DAY[一R]鲁迅故里沈园八字桥书圣故里迎恩门DAY[二R]兰亭景区昂桑湖安昌古镇DAY[三R]柯岩风景区-具体介绍DAY1鲁迅故里免费但一定要提前预约??1.5h可以打卡迅哥大头三味书屋百草园等不推荐在鲁迅故里坐乌篷船时间很短也没什么景色沈园门票40/人??1h宋代园林古色古香可以打卡钗头凤词壁诗境园琴台双桂园等沈园里面不大适合喜欢宋代文化的慢慢逛慢慢品味~八字桥免费??0.5h原汁原味的绍兴本地人生活街区可以在桥上打卡绍兴江南韵味满满的水路和两岸年代感居民区书圣故里免费??1.5h拍照出片地可打卡网红书法墙水边长廊墨池老爷爷书店题扇桥等适合爱拍照的姐妹去打卡拍摄迎恩门免费??1h最好晚上去城楼会亮灯碰到节日还会有花灯等等活动可以跟朋友一起沿着水边慢慢逛DAY2兰亭景区门票70/人??2-3h本人心中最爱的绍兴景区既有文人墨客的文化底蕴又有中式与现代的融合建筑拍战国袍和新中式真的嘎嘎出片昂桑湖免费??0.5h是400年前古代船工们拉纤的道路每块石板都充满了历史感适合晴天去蓝天印在湖水上会很美~安昌古镇免费  如果要看展馆需购票??半天是绍兴四大古镇之一过年的时候会挂上满满的腊肠和鱼干等景区内有很多小店可以边逛边吃DAY3柯岩风景区门票联票130/人??大半天鲁镇景区民国风满满青石板白墙黑瓦还有鲁迅笔下的阿Q和祥林嫂铜像鉴湖景区坐乌篷船游鉴湖超惬意~船桨的水声一声声荡漾是梦里的江南柯岩景区鬼斧神工的石景柯岩大佛矗立其中还有姿态各异的石洞和石壁-??关于住宿这次跟朋友一起做了很多攻略最后选了一座隐秘于市的酒店第一次坐船入住酒店真的是非常新奇的体验开船的叔叔是很健谈的绍兴本地人下船就有专门的服务人员接应办理入住整个过程很快态度也很好而且酒店房间都很宽敞跟闺蜜一起住真的很爽去市区打车大概二十分钟路程到为了舒适的住宿条件我觉得还是可以接受的总的来说绍兴这几天的游玩让我回味无穷很多景点真的很值得逛是一座我来了会想再来的江南小城,1,"鲁迅故里,沈园,八字桥,书圣故里,迎恩门,兰亭景区,昂桑湖,安昌古镇,柯岩风景区,鲁镇景区,鉴湖景区,酒店,绍兴本地人,宽敞,舒适,江南小城",,
青石板乌篷船腊味飘香这里才是江南最慵懒的模样??? 坐一次乌篷船摇摇晃晃穿过水乡的晨雾?? 尝一根安昌腊肠咸香里藏着老绍兴的味道?? 走一走三里长街看老手艺人在廊棚下扯白糖没有过度商业化的喧嚣只有晒酱鸭的竹竿吱呀的木门和晒太阳的猫???? 绍兴  安昌古镇?? 免费部分景点需门票?? 最佳拍摄点清风桥仁昌酱园沿河长廊,9,"青石板,乌篷船,腊味,江南,慵懒,乌篷船,水乡,晨雾,安昌腊肠,老绍兴,三里长街,老手艺人,廊棚,扯白糖,过度商业化,晒酱鸭,竹竿,木门,猫,安昌古镇,清风桥,仁昌酱园,沿河长廊",,
江浙沪团建冬季团建滑雪团建?这12个景点各有千秋总有一个能打动你的心赶紧计划团建出行吧??千岛湖时间1-3日景区天屿山骑龙巷网红灯塔燃擎卡丁车沪马探险乐园.??安吉时间2-3日景区云上草原滑雪场江南天池滑雪场中南百草园大竹海竹博园.??莫干山时间1-3日景区莫干山风景区天际森谷庾村田美树心义远有机农场下渚湖湿地.??临安时间1-2天景区青山湖大明山滑雪湍口温泉风之谷吴越古道.??桐庐时间1-3日景区OMG心跳乐园马岭古道大奇山瑶琳仙境生仙里雪场严子陵钓台.??乌镇时间1-3天景点草木本色染坊水上集市乌镇大剧院月老庙.??上海崇明岛时间1-3天景区东平森林公园东滩湿地西沙湿地明珠湖公园.??西山岛时间2-3天景区石公山牛仔度假村林屋洞天王坞石公山明月湾古村.??绍兴时间2-3天景区鲁迅故里安昌古镇刻石山月亮谷穿岩十九峰东湖.??金华时间1-3天景区诸葛八卦村梦幻谷横店大红岩双龙洞仙华山.??朱家尖时间1-3日景区南沙东沙观音法界大青山白山景区乌石塘.??南京时间2-3日景区夫子庙玄武湖栖霞山灵谷寺鸡鸣寺中山陵美龄宫??团建10人起接??吃喝玩乐一站式安排HR省心省力??做年轻人喜欢的江浙沪团建方案,9,"古镇原貌,商业水平不高,童年的梦",,
虽然元旦的安昌古镇人满为患但是我还是被这浓烈的年味给震撼到了这里或许就是你找寻已久的烟火气-?喜爱的理由1??这个古镇内还是原住民居住的状态整个古镇不似常见的旅游景点期间充斥着满满都生活气息除了能看到店铺里腌制的腊肠酱鸭酱鹌鹑腌鱼之外还能见到居民们自家腌制的各色腌货-2??它并没有被古镇景点同质化这里也没有千篇一律的产品这里依旧保留着自己的特色酱鸭腊肠等我甚至在街上都没有看到连锁奶茶至多就看到了一家星爸爸-3??这里没有旅拍????不像其他一些古镇景点旅拍能占满整个大街还我一片宁静-?景点介绍整个古镇沿着河边两岸形成一个长条回字形整个景点或者说你能作为游客体验的区域就只是在岸边并没有向里面渗透开只要离开主干道就会马上变成生活区-??实用信息??不收门票??????推荐早上10:00抵达人还不多先逛一圈拍拍照??中午选一家心仪的餐厅用餐??下午找个店铺喝个下午茶临走买点腊鸭腊肠~-??我是Jiang酱讲疆不定期分享各种高性价比国内外出行故事关注我为你的旅行提前避雷???,1,"浓烈的年味,找寻已久的烟火气,原住民居住的状态,生活气息,店铺里腌制的腊肠酱鸭酱鹌鹑腌鱼,居民们自家腌制的各色腌货,没有被古镇景点同质化,没有千篇一律的产品,保留着自己的特色酱鸭腊肠,没有连锁奶茶,没有旅拍,沿着河边两岸形成一个长条回字形,不收门票",,
-??交通指南高铁/火车??绍兴站近市区或绍兴北站打车需30分钟到市区地铁/城际列车??适合宁波和杭州周边可直达绍兴市区8大必去景区1鲁迅故里??免费 | 来了绍兴肯定要打卡鲁迅故里百草园三味书屋小时候语文课本里的场景历经好多年又真真切切地映在我们眼前2书圣故里??免费 | 王羲之与蔡元培的故里有大量的历史遗迹是很好的打卡出片地3八字桥??免费 | 是我国现存古老的桥梁之一两岸都是江南水乡的生活场景没有过度商业化4昂桑湖??免费 | 建立明代避风石塘古纤道是人少景美的小众打卡点晴天来整个湖面都是蓝色5仓桥直街??免费 | 民居多为清末民初建筑众多富有地方特色的台门保存完好具有浓郁的水乡风情6西小路??免费 | 沿途河道清秀人少安静更富有水乡情韵适合慢慢逛慢慢欣赏7兰亭??门票70/人 | 将中式美学运用到极致王羲之笔下绝美仙境配上杰伦的兰亭序意境拉满8安昌古镇??免费游览小景点联票50元/人 | 是央视推荐的古镇烟火气满满随手拍都是水墨画建议留半天时间好好逛一下??住宿推荐这是我近期住过觉得品质很高的一个酒店酒店房间面积都很大这次订的房间还带一个小庭院大空间给人的感觉就是舒适加透气小空间真的让人很压抑谁懂??距离市区大概三十分钟车程边上就是鉴湖和柯岩风景区在柯桥逛真的蛮方便,9,"古镇原貌,商业水平不高,童年的梦,历史遗迹,水乡风情,烟火气,水墨画,舒适加透气",,
许银炜国家地理推荐的免费古镇绍兴安昌古镇市井烟火气浓用枕水人家桨声灯影形容它最贴切不过了?,9,"许银炜,国家地理,免费古镇,绍兴,安昌古镇,市井烟火气,枕水人家,桨声灯影",,
??我本无意入江南奈何江南入我心.绍兴没有杭州苏州名气没那么大但保留着安静又慢条斯理的日常生活青砖绿瓦小桥流水乌蓬慢慢真心觉得这里更适合游玩放松??.??路线推荐??一日游特种兵全路线??地铁站城市广场蔡元培故居书圣故里周恩来故居八字桥沈园鲁迅故里三味书屋绍兴师爷馆青藤书屋徐渭艺术馆绍兴博物馆府山公园仓桥直街西小路历史街区阳明故里迎恩门.??此路线景点除了沈园门票40其他都免费闭合路线起始点不绕路可自行删减部分景点需提前预约.??两天一晚休闲游路线Day1东湖书圣故里八字桥沈园Day2鲁迅故里绍兴博物馆仓桥直街西小路??如果想游船可以去东湖门票50乌蓬船35.时间充足的话建议去安昌古镇东湖兰亭大禹陵沈园?犭茶湖古纤道柯桥古镇等逛逛.??分享几个打卡点建议收藏鲁迅故里从百草园到三味书屋鲁迅笔下场景从书中来到你的面前书圣故里人文气息非常浓厚墙壁上随处可见书法元素沿河而行处处皆风景东湖最近很火的一个点强烈建议坐船沿着山绕一圈阴天更有感觉安昌古镇烟火气十足的免费古镇满街的酱鸭腊肠印糕有一种过年的感觉迎恩门老城西北方向的一座城门节假日这里会有传统水上迎亲仪式?犭茶湖走在这纤细的古道上吹吹风聊聊天很安逸.??Tips??拍照时间出门前一定看天气预报江南雨天有韵味但是不太好走??住宿推荐老城区景点很集中住宿可以选择在鲁迅故里附近交通吃饭都很方便??美食吃绍兴菜可以去寻宝记孔乙己小绍兴饭馆等特色有绍三鲜梅干菜焖肉醉鸡卤鸭.,9,"安静,慢条斯理,日常生活,青砖绿瓦,小桥流水,乌蓬,慢慢,真心,更适合,游玩,放松",,
