评论,打分,积极评价要素词汇_1,,,,,,,,,,,,
"?""??从上海自驾出发去莫干山，返程时无意发现了这个顺路的【新市古镇】，商业化程度不算太高，古镇原貌保留的比较多，还在开发当中。??新市古镇：4A景区??地址：湖州市德清县新市镇对峰浜 1 号新市古镇游客中心。??门票：景区及展馆免费！????我的游玩线路放在最后，可以参考。	??【景点特色】??古镇始建于公元 308 年，古称“仙潭”。这里保存了大量明清古建筑，白墙黑瓦，古色古香。西河口水街的古建筑尤为集中，漫步其中，仿佛穿越回了过去。????觉海寺院庄严肃穆，古桥梁如驾仙桥、会仙桥和望仙桥各具特色。??【美食推荐】??羊肉面：新市的羊肉面可是一绝！选用有名的湖羊制作，羊肉鲜香，没有异味。面条劲道，汤汁浓郁，吃一口就忘不了。????茶糕：传统小吃茶糕，软糯的外皮搭配鲜美的肉馅，口感丰富。??梅花糕：香甜可口，上面的小元宵和红枣增添了不少风味。??【拍照打卡点】??西河口：这里可以拍到古桥、流水和古建筑的完美组合，随便一拍都是大片。??古建筑小巷：穿梭在小巷中，感受岁月的痕迹，拍出文艺复古的照片。??【游玩建议】??建议游玩时长 1 - 3 小时。可以慢慢闲逛，欣赏古镇的风景，品尝美食。??有条件的话可以乘坐小船游览，从不同角度欣赏古镇的美。            """,9,"古镇原貌,商业化程度不高,童年的梦,4A景区,免费门票,明清古建筑,白墙黑瓦,古色古香,西河口水街,觉海寺院,古桥梁,羊肉面,湖羊,茶糕,梅花糕,拍照打卡点,西河口,古桥,流水,古建筑小巷,岁月痕迹,小船游览",,,,,,,,,,,,
"?? 古镇历史：一场“迁徙”引发的千年传奇	新市古镇的故事，要从一场“洪水”说起！西晋永嘉二年（公元308年），一场暴雨淹没了名为“陆市”的村落，百姓在陈廷肃的带领下，迁徙至一片水网密布、舟楫便利的“仙潭”之地，从此扎根繁衍，取名“新市”。这里的水路如同血脉，北宋时期已是商贾云集的“浙北小上海”，南宋时更因大运河的繁荣成为“江南明珠”。	趣味冷知识：古镇布局暗藏玄机！道教大师陆修静曾在此隐居，将镇子设计成“三潭、九井、十八块”的奇幻格局，对应道家“三生万物”“北斗七星”等理念，连桥名都藏着“青龙白虎”的守护神兽！	千年时光在这里凝固，每一块青砖都藏着英雄、侠客与先贤的故事。来新市，做一场关于江南的梦吧！??	?? ?? ?? ?? ?? ?? ?? ?? ?@专业号助手? ?@地图薯? ?@摄影薯? ?@生活薯? ?@走走薯? ?@小红书创作学院 creator academy? ?@薯管家? ?@城市情报官? ?@人文薯? ?@知识薯?",10,"古镇原貌,历史底蕴,水网密布,舟楫便利,浙北小上海,江南明珠,道教文化,三潭九井十八块,奇幻格局,道家理念,青砖,英雄,侠客,先贤,江南梦",,,,,,,,,,,,
[飞吻R][飞吻R]新市古镇有着“千年小上海、江南百老汇”的美誉，有一千多年的历史，曾是京杭大运河的重要码头之一，如今古镇没有了往日的喧嚣，只剩下本地原住民及熙熙攘攘的游客，烟火气十足。[萌萌哒R][种草R][种草R]【必玩线路推荐 】大运河诗路文化数字体验馆――资华筠舞蹈艺术馆――钟兆琳故居――新市文史馆――陆仙楼――沈铨故居童润夫纪念馆――刘王庙――民间艺术馆――江南蚕文化馆等[仙女R][仙女R] 2024年5月1日起，新市古镇景区旗下所有展馆永久免费开放！[玫瑰R][玫瑰R]整个古镇以水为脉络，十多座古桥将两岸连接，你可以找个临水的地方坐下来，点上一壶茶，真正体验一把江南的慢生活，也可以选择坐上手摇船，随着古镇的水道缓缓摇晃，别有一番滋味。??手摇船游船攻略 ??票价 : 平时30元，节假日50元（1.2米以下孩童半价）登船码头 : 游客中心码头、假日酒店码头游船时长 : 20分钟左右 游船线路 游客中心码头→万象桥→驾仙桥→会仙桥→永昌桥→假日酒店码头 可以租件古装游船，拍照瞬间出片????【当地美食】??[一R]玲阿娘梅花糕：深受央视青睐、多次被报道的当地特色小吃??[二R]新市茶糕：糯糯的白色外皮，包裹着大大的肉馅料??[三R]羊肉面（红汤）：一份面一碗羊肉+一杯黄酒，这可是标配。赶早，仙潭市场背后不起眼的店面，坐满了老食客。??[四R]鸭绞面（白汤）：一份面+各种鸭货套餐，推荐：黄毛鸭绞面??另外：汤包、粢饭团、烧麦也是新市特色小吃，清明节才能吃到的麦芽圆子、冬天才有的细沙羊尾，合适的季节里也不要错过了！[樱花R]【运河新天地：运河/汉服旅拍服务】华裳集汉服体验馆（南昌街131号）；轻裳春庭艺术体验馆（步云路70号）；【特色玩法】运河旅拍、古韵游船、浪漫夜游等，捕捉每一个优雅瞬间，定格这份古典之美！   ,9,"千年小上海,江南百老汇,京杭大运河,古镇原貌,烟火气,水为脉络,古桥,临水茶座,手摇船,慢生活,展馆免费,玲阿娘梅花糕,新市茶糕,羊肉面,鸭绞面,汤包,粢饭团,烧麦,麦芽圆子,细沙羊尾,汉服旅拍,运河旅拍,古韵游船,浪漫夜游,古典之美",,,,,,,,,,,,
"?? 姐妹们！我发现了一个宝藏旅行地！人少景美还免费，真的绝了！	?? 地点：浙江・新市古镇	?? 随手一拍就是大片！青石板路、小桥流水、白墙黛瓦，仿佛穿越到了千年前的江南水乡，又带着一丝京都的静谧与禅意~	? 推荐打卡点：1?? 觉海寺：千年古刹，香火鼎盛，祈福超灵验！2?? 西河口：坐乌篷船游河，感受水乡的温柔与浪漫~3?? 茶馆一条街：品一杯清茶，听一段评弹，慢生活从这里开始！	?? 美食推荐：1?? 新市茶糕：外皮软糯，内馅鲜香，一口下去超满足！2?? 羊肉面：汤汁浓郁，羊肉鲜嫩，冬天来一碗暖到心里！	?? 小贴士：1?? 建议避开节假日，人少更出片！2?? 古镇不大，半天就能逛完，适合周末短途游~	?? 快来评论区告诉我你的选择吧！或者分享你心中最爱的旅行地，一起交流旅行心得~	         ",1,,,,,,,,,,,,,
???周末大家都去哪儿玩～？带小孩 带老人 带萌宠??？不用出浙江！就在湖州 发现了一个没有商业化 只有阿爸阿 ，原汁原味的新市古镇民俗风情・都具像化起来啦！！每来一次都深深感受到浓厚的烟火气 不想走 想在这里长住～-不管是晴天还是下雨都别有一番感觉一路边吃边拍边享受慢悠悠的生活与我一起邂逅1700年历史的新市古镇在古运河上坐一会摇橹船在阶梯的石头上拍照??在一起看爷爷奶奶们编织小玩意在一起摸摸茶室门口慵懒的橘猫??-逛！新市展馆都是免费??的（主要集中在古镇）刘王庙戏台提记（建于南宋）蚕文化馆（清晚期建筑）觉海寺（唐元和十年815）新市文史馆（清晚期建筑）驾仙桥（德清东部水乡石拱桥代表作之一）-吃！逛古镇最少不了的就是吃吃喝喝1??沿河边有很多茶馆??点杯白茶 烘豆茶 莫干山黄芽2??玲阿娘梅花糕3??元松羊肉店4??真传茶糕5??仙潭老汤面馆-??地址：浙江省湖州市德清县新市镇对峰浜1号?开放时间：全天 （夜间灯光秀）展馆：8:30-16:30??门票：开放式景区 /景点永久免费??乌篷船：游船（30/人儿童15/人）电动船（80一条/4-5人）注意事项??：1.节假日人流量很大 不要走散2.展馆门槛多 走路需小心??3.游船注意安全 勿外扑有时间一起约上家人朋友一起走进烟火古镇 感受慢生活??                                                                   @生活薯 @走走薯,9,"古镇原貌,商业化水平不高,烟火气,慢生活,古运河,摇橹船,石头阶梯,编织小玩意,茶室橘猫,免费展馆,刘王庙戏台,蚕文化馆,觉海寺,新市文史馆,驾仙桥,吃喝玩乐,玲阿娘梅花糕,元松羊肉店,真传茶糕,仙潭老汤面馆,开放式景区,永久免费,乌篷船,夜间灯光秀",,,,,,,,,,,,
" 希望达到新旧交融古镇风貌与融汇古今业态共存的新模式，浙进性规划更新文化特色地标的新印象，多元主体参与下懂行疗愈的新生活三大设计愿暴，设计主题:以时光凸透镜为主题，以构建南泉古镇文化意象为脉络，营造慢行疗愈生活为主线,打造一个连接古今、穿越时空、居游共存的非典型古镇",8,"新旧交融,古镇风貌,古今业态,文化特色地标,多元主体参与,时光凸透镜,南泉古镇,文化意象,慢行疗愈生活,连接古今,穿越时空,居游共存",,,,,,,,,,,,
Hi，我是早安，欢迎来到江浙真.冷门旅行地的6??1??期～.“就把乌镇留给游客，把这里留给我们...”.“可能是江南水乡最后的隐藏副本”.??浙江.湖州.新市古镇.??节假日也完全没有游客的小众旅行地??乌镇30min、南浔1h、莫干山1h??无门票、低花费的轻度假好去处??我眼中唯二还活着的江南水乡.--世人皆道江南好，不远千里也要寻个水乡梦但对于在江南土生土长了几十年的我而言乌镇、南浔、西塘、周庄，这些顶着主角光环的古镇们，更像是为外乡人打造的大型游乐场，早就没了水乡的灵魂...那个太湖边、一推门就能看见河道的外婆家已经成了高楼大厦，只在童年的梦里.新市古镇，这些年唯二让我觉得恍惚间回到童年外婆家的地方。有多冷门呢？关于它的笔记差不多就六七个吧本是顺路来看看的，又是个大冬天没抱什么希望却被扑面而来的“江南”撞了个满怀.碧绿的河道如网，长长的绵延至远方，千年古刹与水街相依，通向狭窄却真实的弄堂，明清的石桥横跨在水上，串联起村民回家的路...旧旧的石板路和红灯笼，空落落的河边茶馆，没有人看守的小店，溪边浣衣的阿姨，屋檐下听戏的老人，安静的、简单的、自然的生活，像极了我想去，却永远回不去的地方.....如果说乌镇与南浔，是留给外乡人的江南梦那新市古镇，便是留给本地人的，记忆中的水乡~.一推门，好像看见了外婆年轻的模样….        ,9,"古镇原貌,商业水平不高,童年的梦,江南水乡,隐藏副本,无门票,低花费,轻度假,活着的水乡,碧绿的河道,千年古刹,水街,弄堂,明清的石桥,旧旧的石板路,红灯笼,河边茶馆,小店,溪边浣衣,屋檐下听戏,安静的生活,简单的生活,自然的生活,记忆中的水乡,外婆家",,,,,,,,,,,,
"杭州周边一日游第2??站：??湖州德清县	下了高铁站直奔新市古镇，坐了1个小时的车，结果什么都没有！去之前刷小红书吃的喝的逛的地方都好多，可以在那里待一天，去了之后发现啥啥啥都没有！还待一天？半小时我就绕到出口了！	??强烈建议：夏天别来，别来！尤其是J人，千万别来！一整个猝不及防，事先制定的旅程直接报废[失望R]	家人们，杭州周边还有哪里好玩啊[哭惹R]	       ",1,,,,,,,,,,,,,
我坦白了，杭州1小时达的四座湖州免费??古镇，承包了我大多数的周末时光??“在湖州看见美丽中国”，是湖州引以为傲的金口号。这座应太湖而兴的城市，私藏了很多国风美学教科书式的古村镇。??南浔，古园林。夏天yyds的体验是，在荷香扑鼻的小莲庄，赶赴如诗如画的荷花之约，下午在百间楼欣赏动人心魄的落日大片；??荻港，古民俗。老舍先生之子舒乙，称赞荻港是江南最好的小镇??。因为这真是一个乡土建筑博物馆，馀庆桥等三十多座形态各异的古石桥，礼耕堂等建造精良的古老宅院，演教寺门前宋代石狮，还有运河边仅存的百年茶馆；??新市，古民居。西河口是新市古民居的精华所在，临水而建的水街，靠街楼，石库门、古民居，河埠，无一不是古人的匠心之作；??双林，古石桥。双林的宣传语是“在双林看见另一半江南”，这里有江南绝无仅有的三座并排而建的石拱桥。>>>>>>>>>>>>>>>>>>>>??四座古镇定位：??南浔，定位“南浔古镇”，景区北门和南门都有停车场，停车位比较充裕；??荻港，定位“丝绸小镇荻港古村”，停游客中心，或农贸市场路边，停车免费；??新市，定位“仙潭市场”，然后停在仙潭路路边；??双林，定位“双林古镇停车场”，免费停>>>>>>>>>>>>>>>>>>>>>>>??必吃美食:????荻港推荐施家馄饨，一元茶馆，以鱼汤拌饭????新市推荐茶糕，鸭绞面，酥羊大面，梅花糕等????双林推荐虾鳝面，爆好吃！小镇几家咖啡店也很不错????南浔推荐浔蹄(蹄o)，双交面，定胜糕，熏豆茶等                            @生活薯 @人文薯 @日常薯 @走走薯 @城市情报官,9,"新市,古民居,水街,靠街楼,石库门,河埠,匠心之作,茶糕,鸭绞面,酥羊大面,梅花糕",,,,,,,,,,,,
"“你一句春不晚，我便到了真江南”但这次不挤乌镇周庄，我找到了藏在湖州的冷门千年古镇――新市古镇白墙黛瓦、青石板巷、梨花落水…这里才是原汁原味的江南烟火气	新市古镇始建于公元 308年，古称“仙潭”，光听名字就超级好听，曾是浙北地区大运河畔的重要商埠，素有“千年小上海”、“江南百老汇”的美誉??。	这里明清时期的老建筑特别多，白墙黑瓦，看着就让人心里头舒服，一股子古色古香的味道。	古镇不大，一两个小时就可以逛完，坐在河边，看摇橹船??缓缓驶过，感受微风拂面???的惬意，但也可以找个茶馆??或者咖啡厅??坐一下午。	??【交通攻略】??坐标：浙江湖州德清县新市镇?杭州/上海自驾1.5h直达?高铁至“湖州站”后打车40分钟??门票：0元！全天开放（部分景点单独收费）	?【必打卡体验】1?? 玲阿娘梅花糕・甜入心坎的手艺现烤梅花模具里铺满各种馅，咬开流心爆浆，甜党必冲！记得趁热吃，凉了外壳更韧～??Tips：节假日排队	2?? 企鹅咖啡・古镇里的文艺乌托邦双层老宅咖啡馆，阳光玻璃房+撸猫露台秒出片！点一杯“古镇特调”，搭配小蛋糕，看巷口阿婆摇扇而过，时光仿佛停滞。	“梨花落尽春又了，满地残阳，翠色和烟老”这个春天，总要去一次新市古镇吧！人少景美还免费，快收进你的江南清单～?	??评论区蹲蹲！你还知道哪些冷门宝藏古镇？        ",1,,,,,,,,,,,,,
"超开心和荣幸受到@NYLON尼龙 的邀约！！来德清新市古镇为@周洁琼 拍摄～跟着摄制组老师们一天奔波了好几个地方，洁琼宝宝的脸真的又精致又古典，在古镇场景中向我凝眸时，就像画一样～是非常开心的拍摄经历啦～ 成片出来也很喜欢????	     ",10,"古镇场景,精致,古典,凝眸,画一样,开心,拍摄经历",,,,,,,,,,,,
??：“你一句春不晚，我就到了真江南”总要来新市古镇感受一下白墙青瓦小桥流水吧和家人朋友逛一逛?尝一尝当地特色美食??仿佛真的能沉静下来体验这里的慢生活????-给大家推荐一下特色的美食小吃～??1??.先尝一尝糯叽叽的梅花饺?里面都是豆沙馅～本糯叽叽脑袋真的看到走不动道！！谁懂！2??.再体验特有的茶文化???一口熏豆茶一口甜茶?喝完还可以带一包锅糍回去泡着喝～3??.新市的茶糕也是出了名的好吃！！来了一定要试试?里面是超大颗的肉馅?糯叽叽的绝了4??.还有麦芽糖、麦芽塌饼、细沙羊尾等等特色美食都可以尝尝哦！-过年也是蛮推荐大家去新市古镇逛逛滴??年味满满 也和家人朋友感受一下慢节奏生活,1,,,,,,,,,,,,,
"“三街临两水，一镇越千年”新市古镇的烟火气，藏在清晨石板路的露珠里，隐于傍晚河面的粼粼波光中。这座始建于西晋的千年水乡，曾是京杭大运河上最大的水运码头，如今却低调得仿佛被时光遗忘。没有乌镇的喧闹，不似周庄的拥挤，唯有青瓦白墙与市井烟火，编织着一场原汁原味的江南旧梦。	?? 地址：浙江省湖州市德清县新市镇新市古镇	?? 交通：杭州自驾出发约1小时（推荐高铁至德清站→打车30分钟即达）	?? 门票：免票！免票！免票！2024年开始景区及所有展馆永久免票！	?? 游玩路线推荐：西河口水街（倒丫字古街，打卡驾仙桥、会仙桥）→?觉海寺（千年古刹，禅意摄影圣地）→?钟楼弄（80米深巷，羊肉面香气扑鼻）→?太平桥（宋代石桥，石狮镌刻岁月）	?? ?Tips：新市古镇每年清明有蚕花庙会，最热闹的时候~	?? ?周边串联玩法：新市古镇(上午，逛古街、品羊肉) →?德清下渚湖湿地(下午，观鸟、赏芦苇秘境) →?莫干山        ",1,,,,,,,,,,,,,
挂牌 Holiday Inn造景 Indigo1?? 在德清县新市古镇里面，毗邻京杭大运河，酒店侧门刷卡直通旁边新规划的古镇商业园区，商业园又直连古镇。一天兜兜转转是一个很不错的歇脚地儿。2??地库有新能源快慢充车位，不能很方便。3??钻卡今年过期了，入住不报指望随口提了一句：可不可以不要饮料券，送早。直接加了微信说帮申请。i 人难得厚脸皮成功“讨饭”；房型也升级到了最高楼层的河景房。4??酒店的从入户大堂到工区的造景的确不像假日，很有度假范儿。美中不足就是酒店内的大水池正在施工修复，看到的就是水泥大坑。  ,1,,,,,,,,,,,,,
     被小红薯骗过来，再也不来了！没有喝到想和的三道茶！！！ @德清文旅,3,,,,,,,,,,,,,
德清新市古镇两天一晚游玩攻略～  ,7,,,,,,,,,,,,,
"新市古镇位于浙江省德清县，距今已有数千年历史。千百年来居民临河而建，傍桥而市，形成典型的江南风情，作为浙北地区大运河侧的重要商埠，自古繁华，民风质朴，人才辈出，人文胜迹众多。依托“白墙灰瓦，小桥流水”的地方特色，我们从游客中心建筑结构中提取色彩与造型特点，使导视系统融于古镇环境，将新市的古韵以现代质朴的方式呈现，内敛简洁而又不失格调韵味，浑然天成，令人流连其间，无不能领略此地的清纯与从容。	项目名称：新市古镇游客中心项目地址：浙江省湖州市德清县服务内容：导视标识规划设计制作安装全案	盛和美设计??原创设计，转载请注明出处！	????????????????????????????",9,"古镇原貌,江南风情,白墙灰瓦,小桥流水,古韵,现代质朴,内敛简洁,格调韵味,清纯,从容",,,,,,,,,,,,
??交通攻略：1、 自驾：导航至“新市古镇”，周边有停车场，停车费用为3元/小时，距景区步行5分钟。2、 高铁：高铁到达德清站，再换乘公交或打车前往古镇。??门票：免费，但部分景点如钟兆林故居、蚕文化馆需要单独购票。?一日游必打卡线路：1、觉海禅寺：千年古刹，环境清幽，古树参天，是感受宁静氛围的好去处。2、西河口老街：古镇最具代表性的老街之一，保存了许多明清时期的古建筑，适合拍照打卡。3、太平桥：新市古镇的标志性建筑之一，造型古朴典雅，站在桥上可拍摄到古镇美景。??美食推荐：1、新市羊肉：当地特色美食，红烧做法，肉质鲜嫩，肥而不腻。2、茶糕：新市特有的传统糕点，外皮软糯有嚼劲，肉馅鲜美多汁。3、梅花糕：小巧玲珑的糕点，外皮酥脆，内馅软糯香甜。          ,8,"古镇原貌,商业水平不高,童年的梦,千年古刹,环境清幽,古树参天,宁静氛围,明清时期古建筑,拍照打卡,标志性建筑,造型古朴典雅,古镇美景,新市羊肉,红烧做法,肉质鲜嫩,肥而不腻,茶糕,外皮软糯,肉馅鲜美多汁,梅花糕,外皮酥脆,内馅软糯香甜",,,,,,,,,,,,
德清来的两位小姐姐很上镜呢    ,7,,,,,,,,,,,,,
" 希望达到新旧交融古镇风貌与融汇古今业态共存的新模式，浙进性规划更新文化特色地标的新印象，多元主体参与下懂行疗愈的新生活三大设计愿暴，设计主题:以时光凸透镜为主题，以构建南泉古镇文化意象为脉络，营造慢行疗愈生活为主线,打造一个连接古今、穿越时空、居游共存的非典型古镇",9,"新旧交融,古镇风貌,古今业态,文化特色地标,多元主体参与,时光凸透镜,南泉古镇文化意象,慢行疗愈生活,连接古今,穿越时空,居游共存",,,,,,,,,,,,
新市古镇位于湖州德清，距今已有数千年之久，建制历史就达1200多年，千百年来民居临河而建；傍桥而市，形成典型的江南风情。设计融合清丽婉约的古镇风貌、深邃的历史底蕴、古朴而浪漫的民俗风情。保留古镇底色、植入现代时尚文化，实现洁化、序化、艺术化。以延续文化历史，实现旧城复兴、水乡复兴。色彩提取自古镇、运河、建筑；结合高品质设计材料、现代化视觉，抒写古老之胜，水乡之美。?????????????????????,10,"古镇原貌,江南风情,清丽婉约,历史底蕴,古朴浪漫,民俗风情,现代时尚文化,洁化,序化,艺术化,色彩,高品质设计材料,现代化视觉,古老之胜,水乡之美",,,,,,,,,,,,
     被小红薯骗过来，再也不来了！没有喝到想和的三道茶！！！ @德清文旅,3,,,,,,,,,,,,,
"假期的最后一天扛起相机出门拍一拍我生活的古镇	",7,,,,,,,,,,,,,
"	[气球R]清明小假的第二天上午10点从湖州出发，驱车51分钟就抵达了湖州德清的新市古镇！但刚进城就傻眼了――街道两旁停满了车，停车场也车满为患。我们兜兜转转了20多分钟才找到一个路边的车位卡了进去……（??小贴士：错峰出行！节假日建议公共交通或早起！）	[种草R]不过，一踏入古镇的那一刻，所有的焦躁都烟消云散了！沿着石板路往河边走，瞬间穿越回了百年前的江南。首先打卡的是沈铨故居，这位清代花鸟画大师的故居就在明清直街上。面河的院子里一棵高大的香樟郁郁葱葱，白墙黛瓦间飘着若有若无的墨香，仿佛能听见笔尖与宣纸摩擦的沙沙声。	[星R]京杭运河穿镇而过，这里是江南七大古镇之一，始建于公元308年，古称“仙潭”。原住民的房屋临水而建，三街临河，傍桥而市，构成了典型的“小桥、流水、人家”的诗意江南，被誉为“千年小上海”。	[种草R]西河口明清古街更加热闹，颇有点丽江古城的味道。小河狭窄，木质阁楼密集。三步遇茶肆，五步见咖啡馆，还有小酒吧和歌厅。假日游人如织，在古旧的廊桥下围炉煮茶，竟有种奇异的时空交错感。	[樱花R]这么一个建制历史达1700多年的古镇，就在本市，我们却头一次来打卡，实在不应该啊！	????重点来了！本地人私藏美食清单：??玲阿娘梅花糕：梅花模子里翻出焦糖香，豆沙馅烫着嘴也要咬第二口??元松羊肉店：百年老灶炖的酥烂羊肉，配着劲道手工面连汤都喝光??仙潭老汤茶糕：揭开蒸笼那刻，糯米混着肉汁的蒸汽能香晕整条街?           ",9,"古镇原貌,商业水平不高,童年的梦,石板路,河边,沈铨故居,明清直街,香樟,白墙黛瓦,墨香,京杭运河,小桥,流水,人家,诗意江南,千年小上海,西河口明清古街,丽江古城,木质阁楼,廊桥,围炉煮茶,时空交错感,建制历史,玲阿娘梅花糕,元松羊肉店,仙潭老汤茶糕",,,,,,,,,,,,
"我在这个小众古镇拍到了“梨花院落溶溶月”！“忽如一夜春风来，千树万树梨花开。”前几日在苏州畅园看到梨花，就想找一个可以赏梨花的地方，于是就刷到了湖州新市古镇的这棵百年梨花。满树梨白，绽放在古镇水乡，尤其夜幕降临，水面呈现出的拱桥倒影和雪白的梨花，让我深刻体会到了晏殊诗词里的“梨花院落溶溶月”，邂逅一场江南的春醪！??湖州德清新市古镇非常小众的古镇，周末也不会人挤人，很适合在河边围炉煮茶赏花??杭州自驾50min，游客中心有停车场??门票：0r??设备：大疆御3pro??拍摄时间：2025.3.22??后期：剪映* ??我是@jamie-酱，带你瞰见不同的美景* Welcome?to?my?channel??* This is Jamie―a?travel?photographer* Welcome to follow me take you into the China captured by my lens, as we explore more of its breathtaking scenery and enchanting stories together!       @生活薯 @热点薯 @薯队长 @本地薯 @小红书创作助手",1,,,,,,,,,,,,,
青砖古巷，小桥流水，摇橹船飘然而过，一摇一曳，穿过小桥，路过人家。在这段摇橹之旅中，你会安享一份宁静，体会慢生活的闲暇与舒适。     ,10,"青砖古巷,小桥流水,摇橹船,宁静,慢生活,闲暇,舒适",,,,,,,,,,,,
从庙宇、祠堂到宅院民居，新市古镇的古建，大多是明清之后了，构造上都没有出现【斗拱】这样的出檐传力构件，转而采用更直接的檩条出挑。很像之前在江西一些地区晚期古建出现的做法。屋顶的戗角也多见嫩戗，构造很清楚。总体给人一种务实高效少装饰的感觉。  ,7,,,,,,,,,,,,,
