评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23,积极评价要素词汇_24,积极评价要素词汇_25,积极评价要素词汇_26,积极评价要素词汇_27,积极评价要素词汇_28,积极评价要素词汇_29,积极评价要素词汇_30,积极评价要素词汇_31
遇见最美江南记录8个苏州古镇的诗意瞬间作为一个摄影爱好者我走遍了苏州的8大古镇今天分享一些私藏的拍摄机位和时间点让你也能拍出充满诗意的江南画卷~??甪直古镇最佳拍摄点永安桥清晨5:30-7:00河面升起薄雾站在桥的西侧拍摄能捕捉到晨光穿透雾气的梦幻场景我最爱在这个时候用50mm定焦低角度构图让粼粼波光和老房子的倒影相互辉映??震泽古镇必打卡报恩塔黄昏时分的塔影倒映在水中特别震撼小技巧是用广角镜头构图时让塔身略微偏离画面中心保留更多水面倒影会让画面更有层次感??木渎古镇绝佳机位山塘街雨后的石板路最上相我一般会选择雨后的傍晚用35mm定焦对准石板路上的积水拍摄倒映出的灯火和老建筑特别有意境??千灯古镇私藏时段夜幕初降古镇最迷人的时刻是华灯初上尤其是千灯浦边推荐使用三脚架慢门拍摄水中倒影让河面的灯火形成梦幻的光斑拍摄小贴士早晚黄金光线时段必须把握雨天反而是拍摄的好时机注意保留建筑的完整性可以用当地居民作为画面点缀构图时善用倒影和留白后期建议适当提升暗部细节控制好色温不要过度偏冷画面对比度适中更有韵味?,10,"古镇,诗意,江南画卷,永安桥,薄雾,晨光,梦幻,报恩塔,塔影,震撼,山塘街,石板路,意境,千灯浦,华灯初上,梦幻,光斑,黄金光线,雨天,倒影,留白,暗部细节,色温,对比度",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水墨江南輕染細雨蕉葉微顫檐角紅燈初上歲月苔痕靜看,9,"水墨江南,細雨,蕉葉,檐角,紅燈,歲月,苔痕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一条骑行自驾路线攻略湖州三天两晚4个历史文化名镇1个首批传统村落详情如下Day1:新市古镇南浔古镇夜景江南市镇多沿河网分布杭州出发可经塘栖古镇继续沿大运河北上建议在中午前抵达新市古镇新市古镇无需门票景区不大但游客也不多给有缘人展现一幅低调温婉小家碧玉的江南水乡景致中午推荐仙潭市场边的黄毛鸭绞面下午可在西市街河边小坐去南浔经过的善琏练市镇也值得一说善琏镇为湖笔原产地练市有粮仓群可稍作停留南浔古镇进景区无需门票头天可游览古镇夜景傍晚在相对僻静的百间楼一带最惬意穿廊过桥吃喝闲坐20块钱一场的苏州评弹也好听得美轮美奂DAY2:南浔古镇震泽古镇双林古镇早餐推荐古街通津桥一带几家早起的老面馆看着都不错酥肉爆鱼等各种浇头小菜看着都好吃此外老街上各种软糯糕点琳琅满目看着也很可口8点后可参观古镇内小莲庄张石铭故居等景点联票80这些都是过去南浔丝商巨贾修建的豪宅巨构中西合璧的建筑特点背后的风云往事似南浔一梦南浔古镇以东10公里有苏州震泽古镇古建爱好者不要错过有师俭堂慈云寺塔均属国保单位D3双林镇的老街风情分散于深巷里弄少一些粉饰多的是平常细碎的市井生活气镇北有双林三桥风情可人傍晚夕阳晖映时更可人DAY3荻港古村菱湖古镇荻港古村是东苕溪畔一座传统渔村村里有一家真正古色古香的老茶馆被人称为一元茶馆已有百余年历史五块钱一杯的茶水身体很久没有喝得这么透菱湖是湖州地区又一座重镇以水产和丝业闻名镇上仍然保存着许多七八十年代的风貌镇上有浙丝二厂为首批国家级工业遗产对近现代历史感兴趣的朋友可以重点了解,9,"新市古镇,低调温婉,小家碧玉,江南水乡景致",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽镇地处太湖南岸属江苏省苏州市吴江区位于苏州南部吴江区的西南部江苏浙江两省交界处震泽镇地理位置优越水陆交通便捷自古以来震泽作为唯一与太湖别称同名的古镇就有吴头越尾之称为物华天宝人杰地灵之地 ,7,"震泽镇,太湖,江苏省,苏州市,吴江区,苏州,江苏,浙江,地理位置,水陆交通,古镇,吴头越尾,物华天宝,人杰地灵",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏日的风带着丝丝暖意是时候去寻找一个充满诗意的旅游目的地啦??--震泽古镇?????位于江苏苏州吴江区的震泽古镇是一颗璀璨的江南水乡明珠这里依水而建街道依河伸展仿佛一幅流动的水墨画初夏时节古镇更是显得宁静又美丽宛如一个世外桃源????乘坐一叶扁舟在清澈的河水上荡漾感受那份宁静与美好??震泽古镇的建筑风格古朴典雅青瓦白墙古色古香走在石板路上你会发现许多精美的木雕和砖雕它们为古镇增添了一份独特的韵味每一处都仿佛带着故事让人流忘返??,10,"诗意, 江南水乡, 依水而建, 流动的水墨画, 宁静, 世外桃源, 古朴典雅, 青瓦白墙, 古色古香, 石板路, 木雕, 砖雕, 故事",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏州园林编号043 师俭堂锄经园师俭堂属于震泽镇的富商徐氏一族师俭两字源出于史记萧相国世家后世贤师吾俭不贤毋为势家所夺代表徐氏节俭持家的家风家族几代经商到了道光年间徐氏后人徐学健已成为震泽首富师俭堂曾毁于天平天国战火现存的则是由徐学健的孙子徐汝福于同治三年重建的说是园林其实建筑占了大部分由三路六进建筑组成南北长105米占地2700平方米唯一称得上园林的就是一座三角形的袖珍花园锄经园占地仅420平米也是全堂最清雅之地鉏是锄的异体字鉏经取自汉书兒宽传带经而鉏休息辄读诵也有耕读传家的意思让我想到上海朱家角镇的课植园从图[一R][四R]的这个月洞门看过去就是园中的一座四面厅图[六R][七R][八R]四面厅内外四面由28扇细花透雕长短窗组成顶部有藻井下垂四只木雕花篮非常精美图[九R]主人视角看四面厅坐在益寿轩鉏经园主体建筑书房兼客厅图[一R][零R][一R][一R]方寸之地还有假山山上一座半亭目前修缮中不能登临图[一R][二R]瓶套瓶景观寓意出入平安最有意思的是师俭堂的二三进之间是隔着宝塔街的图[一R][四R]这条街也是震泽古镇的主要商业街店铺饭店还有慈云寺塔禹迹桥等景点也在这条街上师俭堂的正门其实是第三进的门厅而第一进的房子就是临河的建筑也是徐氏所经营的大顺米行正好通过河边的埠头方便装卸也真的是江南水乡的特色之一了图[一R][五R]第一二进之间的眉毛天井,8,师俭堂,锄经园,徐氏,节俭持家,震泽镇,天平天国,同治三年,园林,建筑,三角形,袖珍花园,鉏经,耕读传家,课植园,月洞门,四面厅,细花透雕长短窗,藻井,木雕花篮,益寿轩,假山,半亭,修缮,宝塔街,商业街,慈云寺塔,禹迹桥,大顺米行,埠头,江南水乡,眉毛天井
发现一家下榻震泽古镇的不二之选处处展示中式美学步行可达震泽古镇真方便?,9,"下榻,震泽古镇,不二之选,中式美学,步行可达,方便",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
两个古镇都很小主要都是沿河漫步每个逛一小时差不多早上去震泽古镇人很少非常安静午后去黎里相对热闹些古镇逛多了有点审美疲劳如果路过的话可以去看看没有必要特地前行P1456震泽P23黎里,5,"安静,热闹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽锄经园去年五月拍的图属于是老图新发了锄经园园小而地狭园内无水跨入月洞门内却宛如登临仙岛方寸之间塞入假山亭廊厅阁等建筑人处其中倒觉悠远深邃向天借地妙趣无穷,9,"震泽,锄经园,园小而地狭,无水,月洞门,仙岛,方寸之间,假山,亭廊,厅阁,悠远深邃,向天借地,妙趣无穷",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.01.12忽然多了很多外国友人,7,外国友人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????上海周末周边游被低估的宝藏小城坐拥超多历史悠久的古镇??分享暑假一日游游玩攻略啦??.??吴江震泽古镇??路线仁昌顺-师俭堂-禹迹桥和思范桥-慈云寺塔-文昌阁-老严卤菜馆.??素有吴头越尾之称别称太湖是江南古镇中唯一与太湖同名的古镇它名气不大很低调??但却是一个拥有二年多年历史的江南名镇也是苏州著名的蚕丝之乡这里很幽静比较原汁原味.??慈云寺塔宋时期建造的佛教建筑是震泽古镇内zui古老的佛教建筑之一是一座砖身木檐楼阁式的佛塔??师俭堂清朝时期的一座私人园林整体属于江南园林与住宅互相融合贯通形成西宅东园的宅第格局建筑内以雕刻之多需慢慢欣赏才能感受其内涵.??仁昌顺古镇入口的显眼处是一家具有百年历史的老店还曾被舌尖上的中国3推荐过它家的鲜肉油墩麦芽塌饼不错.??老严卤菜馆苏式味道席间还有评弹作陪特色是酱鸭红汤面烧鸭面.??湖州南浔古镇??路线小莲庄-嘉业藏书楼-张石铭旧宅-刘氏梯号-广惠宫-张静江故居-宜园和东园-百间楼.??古镇自从??之后名声大噪虽没有乌镇周庄的名气大但这里人气也颇高??它是南宋1252年建镇距今已近八百年的历史是江南六大古镇之一被誉为太湖边的古镇明珠.??古镇很大保留着江南水乡古镇应有的风貌分为南北区南区商业化程度颇高北区相对人流少古镇韵味比较足.??Tips??景点里目前刘氏梯号在装修??水上巴士丝绸码头站十字港站双向对发每隔30分钟一班最晚是16点结束运营哦,9,"古镇原貌,商业化水平不高,童年的梦,吴头越尾,太湖,江南名镇,幽静,原汁原味,慈云寺塔,宋时期,佛教建筑,师俭堂,清朝,私人园林,江南园林,住宅融合,雕刻,仁昌顺,百年历史,舌尖上的中国3,鲜肉油墩,麦芽塌饼,老严卤菜馆,苏式味道,评弹,酱鸭红汤面,烧鸭面,小莲庄,嘉业藏书楼,张石铭旧宅,刘氏梯号,广惠宫,张静江故居,宜园,东园,百间楼,江南水乡,古镇韵味",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丝业重镇震泽古镇虽然属于苏州吴江区其实于浙江湖州的南浔更紧密相依古镇不大景点也不多但人文历史还是比较深厚19世纪后期到20世纪初震泽的蚕丝洋经加工和贸易拓展至海外市场达到顶峰P1-P2 震泽古镇慈云禅寺创建于宋咸淳年间公元1265-1274年 原名广济寺明正统年间1436-1449年重建并赐名慈云禅寺慈云寺塔相传建于三国时期P3-P7 师剑堂原主人徐汝福生于清道光十八年1838年官至礼部郎中他是明代徐旷的十四世孙在清同治年间不仅担任官职还从事商业活动经营的丝经和米粮业务师剑堂是集河埠行栈商铺街道厅堂内宅花园下房等于一体的江南民居古建筑群建筑面积3534.10平方米大小房屋150余间建筑很有特色砖雕石雕木雕共有244幅雕刻收费参观P8师俭堂更楼瞭望台更楼是内宅的看守在师剑堂东北角贴墙而建更夫巡更守夜前可俯瞰全宅防卫严密更楼上拍慈云寺塔P9-P10徐汝福经营的米行米行有码头连頔塘河P11震泽古镇与运河相连的頔塘河P12禹迹桥?禹迹桥始建于清康熙五十四年1715年P13文昌阁建于清乾隆三十六年1771年1840年重修登阁西望宝塔古寺老街荻塘河尽收眼底P14宝塔街仁安坊P15丝业公学旧址震泽丝业公学不仅是震泽丝业公会为业内子弟就学而建的学校也是震泽丝业公会的重要活动场所见证了震泽丝业的发展P16震泽江丰农工银行1919年开业是苏州吴江最早出现的民营商业银行由震泽名门施氏家族开设首任董事长施肇曾施氏家族出了很多名人其中有中国红十字会事业奠基人施则敬和中国第一任驻美公使施肇基1923年施肇曾和施肇基兄弟在家乡震泽创设震泽中学育英学校,7,"丝业,古镇,人文历史,慈云禅寺,师剑堂,徐汝福,更楼,米行,頔塘河,禹迹桥,文昌阁,宝塔街,丝业公学,震泽江丰农工银行,施氏家族",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果你喜欢安静地走走逛逛看看风景体验当地的民俗生活那么来震泽古镇吧你一定会爱上它??[勾引R]夜游震泽安宁而静谧夜景别样风情[勾引R]临河的茶馆茶客三俩悠闲而惬意[勾引R]老面馆的食客谈笑风生面色恬淡??地址江苏省苏州市吴江区宝塔街10号?景点古镇免费全天开放景区70元8:45-17:00包含景点慈云禅寺师俭堂文昌阁中国太湖农家菜文化展览馆江苏省农具博物馆?交通高铁到盛泽站打车15分钟即可达?美食1??仁安轩是茶馆也是面店他家的面很好吃分量也很足小朋友吃了一大碗甚至把面汤全部干完了2??泳良糕点一家有50年历史的糕点店他家枣泥糕的枣泥说是自家煮的袜底酥一点都不甜腻小朋友路上吃了两个3??四碗茶楼待帝茶熏豆茶水泼鸡蛋清茶四碗茶先甜后咸最后淡独具风味?住宿古镇很小小到三两个小时就能逛遍但你如果想来一场身心放松之旅那么夜宿震泽开元名庭也是个不错的选择酒店建筑很有特色一楼有室内游乐场边上有个游乐公园小朋友玩玩恰到好处[耶R],10,"安静,风景,民俗生活,震泽古镇,夜游,安宁,静谧,夜景,临河,茶馆,茶客,悠闲,惬意,老面馆,食客,谈笑风生,面色恬淡,慈云禅寺,师俭堂,文昌阁,中国太湖农家菜文化展览馆,江苏省农具博物馆,仁安轩,面,分量足,泳良糕点,枣泥糕,袜底酥,四碗茶楼,待帝茶,熏豆茶,水泼鸡蛋清茶,四碗茶,特色,室内游乐场,游乐公园,身心放松,夜宿,开元名庭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽一座隐匿在江南水乡的千年古镇 游客不多 保持了纯正当地人的生活场景?这里的慈云寺塔和禹迹桥是震泽古镇的标志性建筑 古塔古桥相互映衬?街边的茶馆里 茶香四溢 人们悠闲地品着茶 谈论着所见所闻?老人们坐在河边垂满柳条的凉亭里 微笑地看着来往人群 眼神里充满了平和?贯穿整个古镇的宝塔街 慢生活和烟火气精神都浓缩在这几百米长度的空间里?在这里 生活不再是匆匆忙忙 有着它最本真的模样,9,"隐匿, 千年古镇, 游客不多, 纯正当地人生活场景, 慈云寺塔, 禹迹桥, 标志性建筑, 古塔古桥, 茶馆, 茶香四溢, 悠闲品茶, 河边凉亭, 微笑, 平和, 宝塔街, 慢生活, 烟火气, 本真",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
很庆幸走过路过没有错过邂逅了一座低调内敛清秀的古镇漫步震泽虽然依旧是熟悉的小桥流水人家配方但是古运河古桥(禹迹桥)古塔(慈云寺塔)石板路小巷汇成了一种非他莫属的独特的古韵让人不由自主慢下脚步心甘情愿地驻足停留享受一份孤寂的闲适与惬意ps震泽是著名的蚕丝之乡古桥古塔都是保护性文物,9,"古镇,低调内敛,清秀,古运河,古桥,禹迹桥,古塔,慈云寺塔,石板路,小巷,古韵,孤寂,闲适,惬意,蚕丝之乡,保护性文物",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇20250112,20250112,古镇原貌,商业化水平不高,童年的梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇一日游攻略1. 交通方式自驾从苏州出发走苏嘉杭高速申苏浙皖高速约40分钟可达上海杭州方向自驾约1.5-2小时公共交通苏州汽车南站/北站或吴江汽车站乘长途车至震泽7:00-17:30多班次2. 必游景点师俭堂晚清儒商宅院融合商铺宅院花园精华部分在第四至第七进联票包含慈云寺塔三国赤乌年间始建登塔可俯瞰古镇黄昏时慈云夕照为震泽八景之一宝塔街明清风格老街粉墙黛瓦适合拍照文昌阁乾隆年间建筑四面临水可步行状元桥游览震泽湿地公园近太湖生态优美可体验自然风光3. 特色体验乘摇橹船沿河游览感受水乡韵味部分攻略提及游船项目穿汉服拍照古镇人少景美青石板路古桥塔影极适合古风摄影品四碗茶熏豆茶待帝茶等体验本地茶文化4. 美食推荐必尝小吃黑豆腐干袜底酥震泽酱鸭定胜糕太湖农家菜推荐中国太湖农家菜文化展览馆周边餐馆5. 行程建议上午文昌阁师俭堂宝塔街慈云寺塔下午太湖农家菜午餐湿地公园或乘船游览自由拍照购物6. 门票与时间联票75元含师俭堂慈云寺塔文昌阁8:00-16:00开放最佳季节春秋两季避开酷暑寒冬Tips震泽商业化程度低适合喜欢静谧的游客若时间充裕可搭配黎里古镇一日游车程20分钟,9,"古镇人少,景美,青石板路,古桥塔影,极适合,古风摄影,商业化程度低,静谧",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1出门居然错峰出行了西坡也超安静这么大的老房子只有我们享受惬意假期[偷笑R],9,"错峰出行,西坡,老房子,惬意假期",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇一日游攻略1. 交通方式自驾从苏州出发走苏嘉杭高速申苏浙皖高速约40分钟可达上海杭州方向自驾约1.5-2小时公共交通苏州汽车南站/北站或吴江汽车站乘长途车至震泽7:00-17:30多班次2. 必游景点师俭堂晚清儒商宅院融合商铺宅院花园精华部分在第四至第七进联票包含慈云寺塔三国赤乌年间始建登塔可俯瞰古镇黄昏时慈云夕照为震泽八景之一宝塔街明清风格老街粉墙黛瓦适合拍照文昌阁乾隆年间建筑四面临水可步行状元桥游览震泽湿地公园近太湖生态优美可体验自然风光3. 特色体验乘摇橹船沿河游览感受水乡韵味部分攻略提及游船项目穿汉服拍照古镇人少景美青石板路古桥塔影极适合古风摄影品四碗茶熏豆茶待帝茶等体验本地茶文化4. 美食推荐必尝小吃黑豆腐干袜底酥震泽酱鸭定胜糕太湖农家菜推荐中国太湖农家菜文化展览馆周边餐馆5. 行程建议上午文昌阁师俭堂宝塔街慈云寺塔下午太湖农家菜午餐湿地公园或乘船游览自由拍照购物6. 门票与时间联票75元含师俭堂慈云寺塔文昌阁8:00-16:00开放最佳季节春秋两季避开酷暑寒冬Tips震泽商业化程度低适合喜欢静谧的游客若时间充裕可搭配黎里古镇一日游车程20分钟,9,"古镇人少,景美,青石板路,古桥塔影,极适合,古风摄影,商业化程度低,静谧",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇漫步在古桥之上看河水悠悠流淌感受着江南水乡的温婉与柔情街边的小店散发着浓浓的烟火气息让人沉醉其中,9,"古桥,河水,江南水乡,温婉,柔情,小店,烟火气息",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短短十几里从浙江湖州到苏州吴江藏了6处真江南不用门票走走逛逛一个周末就可以走完[一R]双林三桥古镇并不大几分钟便能走完岁月流逝古镇繁华不再只留这三座桥一字排开横跨两岸现在依然是居民的重要通道[二R]南浔古镇这里是一个充满韵味的江南水乡白墙黑瓦杨柳依依作为江南六大古镇之一南浔的商业化程度最低而且自2023年宣布永久免票[三R]港廊古村这是一处藏在湖州南浔的静谧古村落非常的安静几乎没有游客[四R]黎里古镇这是一个很小众的古镇商业化不严重这里没有车水马龙只有江南原来的模样[五R]震泽古镇一个小众且原生态的古镇巷子里走着本地居民很有生活气息主要景点有慈云禅寺禹迹桥仁里坊[六R]铜罗古镇这里有依水而建白墙黑瓦的民居是典型的江南古镇几乎没有游客非常安静,7,"古镇原貌,商业化程度最低,静谧,安静,小众,原生态,生活气息",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??哈喽我是爱旅行的刚好欢迎你和我一起看世界如果你一样厌倦了人头攒动的景区古镇不妨看看这里离上海驱车仅需1个半小时就可以抵达的一处在我眼中的避世古镇震泽古镇这是一座以盛产桑蚕为名的古镇素有丝绸之镇蚕宝宝的故乡之美誉 天下丝绸品震泽占三成可见震泽丝业之发达这里很少有游客团会来镇子不大走马观花的逛逛或许1小时都不需要但是这里却是可以静静的坐下来感受江南水乡的烟火气息我来的时候真好是一个晴朗的下午在桥头的茶馆点了一壶茶远远的望去慈云禅寺里的慈云塔旁边是本地人用吴侬暖语在唠家常真的很有江南的韵味??位置苏州市吴江区震泽古镇??停车免费??门票免费?古镇建筑打卡师俭堂慈云寺禹迹桥等?特色茶饮四碗茶?特色小吃海棠糕定胜糕油墩萝卜丝糕?特色美食酱鸭面鳝丝面蛋黄混沌,1,"古镇原貌,商业水平不高,童年的梦,避世古镇,江南水乡,烟火气息,吴侬暖语,江南韵味,免费停车,免费门票,古镇建筑,师俭堂,慈云寺,禹迹桥,特色茶饮,四碗茶,特色小吃,海棠糕,定胜糕,油墩,萝卜丝糕,特色美食,酱鸭面,鳝丝面,蛋黄混沌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi我是早安这是穿着汉服去找真.冷门旅行地的4??5??期~.隐匿在绍兴群山中的古神殿再一次被古人的审美感动到.??浙江省内ZUI美古庙没有之一.在浙江走了一圈最后还是绍兴寻觅冷门古镇古建的这几年始终惦记着又无数次错过了它没想到的是迟到了两年这里依旧门可罗雀....来自满殿神佛的压迫感 满天神兽的怪诞诡艳惊叹于山海经的中式美学在此延续关于寻找浙江zui美古建的偏执也终于在此刻放下.??浙江.绍兴柯桥.舜王庙.?节假日也完全没有游客的冷门旅行地?杭州西湖1h绍兴鲁迅故里50min?始建于南宋的古庙宇杭州周边有这样的保存度真的很惊人?免门票花费便宜的轻度假好去处?来这拍汉服照真的绝了.(全/网都查不到的)?? 一些隐秘故事舜王庙正对着一条江水仔细观察会发现形如蛇状而庙宇所在的山头恰似一只乌龟龟蛇锁江古人认定舜王的神殿因在此处而最初建造的庙宇是在江的另一面但每每发大水殿内的神像总会跑到这里或许这才是它们想要来的地方古人将神殿迁移至此.庙宇中大多为石砖雕刻 三代人雕刻一块青石等待发洪水的时机再将石刻从千里之外运送于此石头的保存易度远超过木构这也是为何浙中古建大多毁损而这里完好如初的原因之一.??历史的魅力藏在一座庙宇里和我分享过的其他古镇古建比起来这里更靠近杭州更容易抵达而浙江省内兼具中式美学和力量感保存又这么好的古建真的所剩无几了真的建议大家有机会来看看吧趁它还鲜活的存在着....?周边旅行地分享紫寨岭真君殿班竹村南山村沃洲湖真君殿赤坑村都是我挖到的冷门旅行地都有专门写过主页右上放大镜就可以找到具体的照片和攻略.,9,"隐匿,群山,古神殿,审美,浙江省内ZUI美古庙,满殿神佛,压迫感,满天神兽,怪诞诡艳,山海经,中式美学,冷门古镇,古建,绍兴柯桥,舜王庙,节假日,游客,冷门旅行地,始建于南宋,保存度,免门票,花费便宜,轻度假,汉服照,隐秘故事,江水,蛇状,乌龟,龟蛇锁江,石砖雕刻,三代人,青石,洪水,石头,木构,历史的魅力,庙宇,中式美学,力量感,鲜活",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当时是看到麦芽二字就随手买了俩一黄豆沙馅儿一红豆沙馅儿因为对景点小吃抱有成见向来浅尝辄止不敢买多回来又忘了这个小零食两天后取出来微波一下后悔买少了黄豆沙的尤其好清甜不腻下次再去一定揣上一大包[偷笑R],8,麦芽,黄豆沙馅儿,红豆沙馅儿,景点小吃,清甜不腻,,,,,,,,,,,,,,,,,,,,,,,,,,
[打卡R]震泽古镇古镇门票免费部分景点收费??联票70r包含师俭堂30r慈云禅寺12r(免费开放了)文昌阁8r太湖农家菜展览馆20r农机具博物馆15r行走路线文昌阁??太湖农家菜展览馆??农机具博物馆??禹迹桥??慈云禅寺??师俭堂古镇生活节奏闲适安逸一条小河??从西南角到东北角穿镇而过河西边以景点古宅为主河东边有很多家茶馆??适合冬日[太阳R]暖阳里围炉煮茶河边赏景慈云禅寺旁吃上一碗热腾腾的素面??菌菇味道挺鲜美还有海棠糕??定胜糕青团子萝卜丝饼[打卡R]铜罗古镇P15P18也是一个免费的古镇距离震泽古镇不远大概12公里乘坐??781路公交车15分钟左右再步行即达专程来此赏景大可不必古镇不大景点很少街两边店铺很多都关闭了游客罕至大多是当地居民适合从震泽古镇出来后顺带逛逛这里的阿二炸鸡腿??很酥香炸馄饨??皮薄脆馅料足值得一尝[色色R]天池酒??飘香浓郁打散酒价格也便宜总之震泽古镇和铜罗古镇适合踏着石板路慢悠悠闲逛感受白墙黛瓦的江南水乡柔情,1,"古镇,门票免费,生活节奏闲适安逸,小河,茶馆,围炉煮茶,河边赏景,慈云禅寺,素面,菌菇,海棠糕,定胜糕,青团子,萝卜丝饼,铜罗古镇,阿二炸鸡腿,炸馄饨,天池酒,飘香浓郁,散酒价格便宜,石板路,白墙黛瓦,江南水乡柔情",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
