评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15
?? 乌镇一个充满诗情画意的江南水乡无论第一次来还是已经来了第N次总能被这里的春日风景所吸引石板桥摇橹船西市河无不诉说着江南水乡的悠久历史这次来正逢乌镇好好生活节分享下我的2天一晚踏春保姆级攻略吧?? Day1??西栅景区水上集市????桥里桥茶楼??春花田梗??龙形田??灵水居??昭明书院Day2??乌村??染坊??摇橹船??西栅大街1??水上集市7:30-9:30可以体验下乌镇的早茶客文化在这吃个早餐记得提前预约哦还可以在菜摊的老爷爷??和老奶奶那买到新鲜的水果??2??草木本色染坊感受民间非遗技术传承带来的美欣赏随风飘动的染布3??龙形田3月怎么能不来乌镇看金灿灿的油菜花呢在听风阁享用下午茶向窗户望去是一片黄色的花海还能在附近逛逛龙形田旁边的市集在花伴旅咖屋点上一杯咖啡再来拍上几张美美的照片4??昭明书院现在正是拍梅花的好时节院里有2棵颇大的红梅可以用窗户做前景透过窗景观梅5??乌村网红树屋稻草人钓鱼??射箭还有小猪快跑等活动也太适合带小朋友一起来玩啦关于吃喝??午餐品尝乌镇的特色美食在后街酒家品尝野火饭??坐在河边欣赏着美景品尝着美食别有一番风味晚餐??满春夜集暖锅夜酒在灵水居的容易钟情热酒馆喝春季限定饮品很暖胃大伙围着锅灶一起吃饭??很有氛围感关于住宿这次住在锦堂酒店在锦堂酒店里感受春天的气息??古色古香有韵味江南园林一般的感觉还可以参加酒店里的颂钵疗愈放松身心酒店还有专属调香室哦zui重要的是位于西栅大街中段去哪都方便一些小tips??1??春天是乌镇zui美的季节此时的油菜花田尤为壮观2??提前了解好好生活节好好生活节有很多有趣的活动3??灵水居不仅有春意读书会还有情景戏剧表演呢还可以去逛逛灵水居独创集市,9,"乌镇,诗情画意,江南水乡,春日风景,石板桥,摇橹船,西市河,悠久历史,好好生活节,西栅景区,水上集市,桥里桥茶楼,春花田梗,龙形田,灵水居,昭明书院,乌村,染坊,早茶客文化,老爷爷,老奶奶,水果,非遗技术,油菜花,听风阁,下午茶,市集,花伴旅咖屋,咖啡,梅花,网红树屋,稻草人,钓鱼,射箭,小猪快跑,特色美食,后街酒家,野火饭,美景,满春夜集,暖锅夜酒,热酒馆,饮品,锦堂酒店,春天,油菜花田,颂钵疗愈,调香室,西栅大街,春意读书会,情景戏剧表演,独创集市",,,,,,,,,,,,,,
这是一组今年夏天梅雨季节拍摄的乌镇本以为雨天不太好逛谁知道却收获了另一番景象当乌篷船开始摇曳我就知道江南古镇与下雨天是绝配因为景区足够大即使在周末也不会感觉拥挤强烈建议坐下乌篷船在淅沥沥的小雨下穿梭过各个石板桥格外有氛围感也非常喜欢这个古镇的建筑设计有别于其它喇叭大叫着臭豆腐肉粽千篇一律的所谓古镇这里很多细节确实让人有那种江南小桥流水的古味了整个景区管理的也很好期待春夏再去一次??更是古风人像的绝佳取景地??,9,"乌镇, 梅雨季节, 古镇原貌, 商业水平不高, 江南古镇, 下雨天, 景区足够大, 乌篷船, 石板桥, 建筑设计, 江南小桥流水, 古味, 景区管理, 古风人像, 取景地",,,,,,,,,,,,,,
总要穿着旗袍去一次江南吧,8,江南,,,,,,,,,,,,,,
??地点: 乌镇西栅景区??门票: 150 00:00----23:59如果你想感受下江南的早茶客文化如果你想体验一下乌镇民宿你可以冲乌镇其他情况还是不用去了下篇笔记给大家推荐一个性价比高的古镇?乌镇门票相对于其他古镇价格较贵乌镇的夜晚比较黑夜景除了进门的乌镇大剧院和单向尽头的白莲塔比较漂亮其他的几乎没有亮光路黑???游玩攻略?如果你还是想去乌镇可参照图1 和图2的路线走草木染坊有很多晾晒的布拍照很出片白莲塔可免费登上3楼俯瞰乌镇全貌桥里桥茶楼可点个江南的甜点上楼欣赏窗外美景和拍照图4是一些节目表演时间与清单可以根据时间点去看?游船建议在染坊附近码头坐船拼船60一人?????[色][色]美食攻略書生羊肉面 量超大羊肉超大块羊肉非常入味软糯脱骨面条量大羊肉面48羊肉羊肚面68羊肉羊肚羊角面78想吃的可以尝尝羊肉面即可羊肚加的非常少滋啦啦油煎铺一乌镇萝卜丝饼 这家超火萝卜丝饼3春饼5其中萝卜丝饼每人限购5个萝卜丝和春饼现做现炸没有很惊艳也不踩雷关键价格便宜可冲舌尖葱包烩 6大家推荐芝士和梅干菜味吃过没印象感觉一般其他美食网友推荐但由于一些原因没吃上吴妈馄饨 桥里桥烧饼铺 通济酱粽店 酱鸭店 该有定胜糕 如果想吃炒菜可以去黄磊推荐的默默的家 我没找到在哪里温馨提示: 乌镇到处都是石板路一定要穿舒适的鞋子不要带行李箱和婴儿车会比较累,5,"江南,早茶客文化,乌镇民宿,草木染坊,白莲塔,桥里桥茶楼,江南的甜点,窗外美景,拍照,节目表演,游船,書生羊肉面,乌镇萝卜丝饼,舌尖葱包烩,石板路,舒适的鞋子",,,,,,,,,,,,,,
??首先我们要知道手机上不同镜头的作用这样才能更好的利用他们拍出美美的照片1?? 1x变焦相当于相机等效24mm镜头视角这是一个广角镜头顾名思义就是可以容纳更多的景物在画面里也可以产生丰富的透视效果可以用来拍摄风景及建筑等题材非常容易产生强烈的透视感一般来说离被摄物体越近透视感越强2??2x变焦相当于相机等效48mm镜头视角这是一个非常标准焦距的镜头接近于人眼的视角无明显透视畸变视角自然也很多摄影大师最爱的焦段之一拍摄题材广泛可用于扫街风景人像等一般适合初学摄影的朋友3??3x变焦相当于相机等效77mm镜头视角这是一个中长焦段用于拍摄较远的风景及物体略有一些空间压缩感多用于人物风景照等,6,广角镜头,透视效果,风景,建筑,透视感,被摄物体,标准焦距,人眼视角,无明显透视畸变,自然,摄影大师,初学摄影,中长焦段,空间压缩感,人物风景照
以为西湖已经够美了直到去了春天的乌镇烟花三月下江南柳树翠绿桃花盛开在摇撸船上享受慢时光透绿的流水碧波荡漾在我心中古诗词里的江南就是这样清明五一将至还有好好生活节可以体验快来乌镇踏春吧??乌镇风景区距离杭州市区开车约一小时?乌镇西栅2天1晚路线??Day1抵达入住酒店-昭明书院-龙形田-后街酒家 -定升桥-灵水居-白莲塔??Day2水上集市早茶-草木本色染坊-木心美术馆-乌村-返程1??龙形田有大片的油菜花海还有一颗长眼睛的独特的树在油菜花周围喝杯咖啡和下午茶真的特别惬意田边还有集市可以逛逛2??定升桥乌镇最经典的三孔桥在桥上看摇橹船还有嫩绿的柳树非常春天3??灵水居西栅最大的私家园林下午有春意读书会和情景戏剧时光慢慢在容易钟情热酒馆小酌一杯春日限定鸡尾酒感受乌镇的春天4??水上集市早上来这里喝一杯早茶品尝早餐看摇橹船载着蔬果前行感受乌镇的热闹的生活气息5??乌村就在乌镇西栅旁的避世小村庄可以坐小火车射箭看各种小动物还有树屋很值得打卡吃住推荐??后街酒家的野火饭用柴火现做重返田园生活??夜晚在灵水居旁的暖锅热酒点个暖锅边吃边欣赏乌镇夜景???西栅大街上的锦堂行馆推开窗户就可以看到小桥流水还可以欣赏油菜花田入住还可以免乌镇西栅门票??乌镇好好生活节正在火热进行中运河堤上春风集有很多有趣的市集可以逛逛还可以参与互动观看演出疗愈体验感拉满民俗狂欢香市节-杂耍游艺开自清明始至立夏止为烧香市游人云集百戏杂陈三教九流纷纷罗列人声沸地锣鼓喧天每天4场分别在灵水居11:00定升桥下14:30升莲广场17:0019:00,9,"西湖,春天,乌镇,烟花三月,江南,柳树,翠绿,桃花,盛开,摇撸船,慢时光,流水,碧波荡漾,古诗词,清明,五一,好好生活节,踏春,风景区,杭州市区,西栅,昭明书院,龙形田,后街酒家,定升桥,灵水居,白莲塔,水上集市,早茶,草木本色染坊,木心美术馆,乌村,油菜花海,咖啡,下午茶,三孔桥,柳树,春意读书会,情景戏剧,热酒馆,鸡尾酒,热闹,小火车,射箭,小动物,树屋,野火饭,田园生活,暖锅,夜景,锦堂行馆,小桥流水,油菜花田,运河堤,春风集,市集,互动,演出,疗愈体验,香市节,杂耍游艺,百戏杂陈",,,,,,,,,,,,,,
总体一日游路线看图一乌镇西栅景区游客服务中心乌镇大剧院木心美术馆草木本色染坊昭明书院三寸金莲馆乌镇邮局乌镇评书场桥里桥茶楼白莲塔乌镇水剧场乌将军庙女红街茅盾纪念堂乌镇水上集市乌镇景点美食地图看图3截图来源于图4这个十六番地图去乌镇旅游真的很推荐基本上国内的各个城市都有旅行地图不想费脑的小伙伴可以直接跟着地图打卡景点+美食+路线都有啦看图5678图一路线也是用这个地图做的??看图5直接复制我的路线到地图上懒人冲,8,"乌镇西栅景区,乌镇大剧院,木心美术馆,草木本色染坊,昭明书院,三寸金莲馆,乌镇邮局,乌镇评书场,桥里桥茶楼,白莲塔,乌镇水剧场,乌将军庙,女红街,茅盾纪念堂,乌镇水上集市,乌镇景点美食地图,十六番地图,旅行地图,打卡景点,美食,路线",,,,,,,,,,,,,,
小桥流水人家以前的江南是烟柳繁华之地现在的江南不止于诗词更是一种生活你一句春不晚你我就到了真江南???六大古镇谁是你心目中的江南水乡-??南浔没有热门景区的喧嚣小桥流水与大宅院交相辉映素有诗书之乡之称??门票0?时间08:00-17:30??位置浙江省湖州市-??周庄周庄诠释了小桥流水人家漫步在周庄让人如痴如醉??门票90?时间08:00-21:00??位置苏州南昆市-??西塘充满古朴宁静的气息走在烟雨长廊听雨??坐在小船里看两岸的灯火真是一种享受??门票100?时间全天??位置浙江省嘉兴市-??乌镇很多人了解乌镇是源于电视剧似水年华片中的乌镇也成了人们的梦中江南水乡??门票190?时间07:00-20:00??位置浙江省嘉兴市-??同里石桥窄巷细砖旧瓦幽深冷清的石板路镜头里的同里美得像一幅江南水墨画??门票50?时间08:00-17:00??位置江苏省苏州市-??宏村高高昂起的马头墙湖水清澈拱桥如虹俨然一幅天然山水画??门票104?时间00:00-23:59??位置安徽省黄山市,9,"小桥流水人家,烟柳繁华之地,江南水乡,诗书之乡,古镇原貌,童年的梦",,,,,,,,,,,,,,
真的玩不够如果你最近也要去乌镇玩那赶快收好这份2天1夜的乌镇深度游路线肯定能帮到你??,8,"乌镇, 深度游路线",,,,,,,,,,,,,,
白墙黛瓦石桥橹影四月的乌镇是水墨洇染的江南时间仿佛被揉碎在粼粼波光里乌镇的美不在被定格的风景里而在依然呼吸着的生活中来乌镇不必追逐打卡地图把自己交给曲折的巷弄让脚步被石缝里的青苔挽留????Tips这是第二次来到乌镇与上次不同的是虽这次没有江南的烟雨却依然沉浸在水墨丹青里西栅是乌镇代表性的景区推荐景点木心美术馆草木本色染坊昭明书院乌镇邮局月老庙桥里桥白莲塔定升桥雨读桥可拍对称构图拍桥洞与水面的倒影清晨还能拍到晨雾未散仿若水墨画般的景象同时还能体验早茶客和水上集市在乌镇做一场不愿醒来的江南梦,9,"白墙黛瓦,石桥橹影,江南,时间,波光,乌镇,风景,生活,巷弄,脚步,青苔,水墨丹青,西栅,木心美术馆,草木本色染坊,昭明书院,乌镇邮局,月老庙,桥里桥,白莲塔,定升桥,雨读桥,对称构图,桥洞,倒影,晨雾,水墨画,早茶客,水上集市,江南梦",,,,,,,,,,,,,,
来到乌镇我才终于理解古人笔下的江南青砖黛瓦小桥流水烟雨朦胧目之所及皆是美好与惬意如果你也想远离城市喧嚣那么不妨来这里走走感受一下真正的江南水乡,9,"江南,青砖黛瓦,小桥流水,烟雨朦胧,美好,惬意,远离,城市喧嚣,真正,江南水乡",,,,,,,,,,,,,,
乌镇真的好像楚门的世界在里面住一晚体验感会更好慢悠悠的感受江南 真的很惬意??,9,"乌镇,楚门的世界,住一晚,体验感,慢悠悠,感受,江南,惬意",,,,,,,,,,,,,,
一直知道木心美术馆的大名但是由于没有具体了解不知道位置在哪这次去乌镇西栅谁懂啊检票进了景区没走多远美术馆就印入眼帘马上买票进去看看[哇R]居然还有萧邦特展真是一趟意外的旅程呀[哇R]最后还遇到一个会弹钢琴的游客在美术馆阶梯上坐着听着悠扬的钢琴沉浸在艺术中无法自拔,9,"木心美术馆,乌镇西栅,萧邦特展,钢琴,艺术",,,,,,,,,,,,,,
[自拍R]全员NPC楚门的世界假古镇都挡不住乌镇成为中国乌镇相比,5,"乌镇,全员NPC,楚门的世界,假古镇",,,,,,,,,,,,,,
[星R]乌镇镇原名乌墩隶属于浙江省嘉兴市桐乡市地处江浙沪金三角之地杭嘉湖平原腹地[樱花R]乌镇境内水系属太湖流域河流纵横交织京杭大运河依镇而过[种草R]乌镇镇拥有7000多年文明史和1300年建镇史是典型的中国江南水乡古镇[氛围感R]是中国历史文化名镇有鱼米之乡丝绸之府之称素有中国最后的枕水人家之誉,8,"乌镇, 乌墩, 浙江省嘉兴市桐乡市, 江浙沪金三角, 杭嘉湖平原, 太湖流域, 河流, 京杭大运河, 7000多年文明史, 1300年建镇史, 江南水乡古镇, 中国历史文化名镇, 鱼米之乡, 丝绸之府, 枕水人家",,,,,,,,,,,,,,
??遇见乌镇就像翻开了一本写满故事的诗集初来的惊喜重游的眷恋都藏在这烂漫春光里??脚下石板桥纹理清晰摇橹船欸乃声声悠悠西市河倒映着粉墙黛瓦-??五一假期将至这份乌镇2天1晚攻略赶紧码住收拾行囊奔赴水乡去邂逅古桥流水感受枕水人家的诗意生活??Day1??西栅景区??水上集市桥里桥茶楼定升桥望津堤灵水居昭明书院??Day2??乌村??草木本色染坊摇橹船西栅大街-??打卡攻略1???望津堤春日限定的乌镇运河堤上春风集来啦4月18日?-?6月2日望津堤化身欢乐场美食市集演艺精彩纷呈漫步花路邂逅浪漫码头看乐队嗨翻河畔观影超惬意2??灵水居码头乘船起始点定格水乡悠悠韵味3??定升桥古桥映波框住乌镇古朴风光4??草木本色染坊蓝布摇曳抓拍传统工艺诗意瞬间5??乌村网红树屋小火车钓鱼射箭小动物乐园等都很容易拍照出片-??舌尖上的乌镇??午餐强推后街酒家尝特色野火饭坐在河边伴着水乡美景一口下去满是地道风味??晚餐满春夜集暖锅夜酒氛围感直接拉满在灵水居的容易钟情热酒馆喝杯春季限定饮品大伙围坐锅灶共享美食温馨又惬意-??枕梦江南这次住在堤上度假酒店房间内落地窗视野极佳可览水乡园林美景自然景致如画铺展带来沉浸式度假体验还可以免景区门票哦~乌镇之行步步皆景悠悠古韵令人沉醉这里不仅有诗意的水乡风光更有贴心的现代设施景区厕所洁净堪比五星级充电宝休息区随处可见旅行体验超棒,9,"乌镇,故事,诗集,惊喜,眷恋,春光,石板桥,摇橹船,西市河,粉墙黛瓦,古桥,流水,枕水人家,诗意生活,水上集市,桥里桥,茶楼,定升桥,望津堤,灵水居,昭明书院,乌村,草木本色染坊,西栅大街,运河堤,春风集,美食市集,演艺,浪漫,码头,乐队,河畔观影,望津堤,灵水居,定升桥,草木本色染坊,蓝布,传统工艺,乌村,网红树屋,小火车,钓鱼,射箭,小动物乐园,后街酒家,野火饭,满春夜集,暖锅夜酒,氛围感,热酒馆,春季限定饮品,堤上度假酒店,落地窗,水乡园林美景,景区厕所,充电宝休息区,旅行体验",,,,,,,,,,,,,,
前几期分享了周庄西塘乌镇的游览攻略宝子可能会纠结这几个古镇哪个更合适呢来了给大家从背景规模景观门票夜景等各方面进行综合的对比整理[电影R]背景?周庄始建于北宋被国家地理评为中国D一水乡美誉是江南shou富沈万三的故乡也是电影摇啊摇摇到外婆桥取景地??西塘是古代吴越文化发祥地之一有活着的千年古镇称号也是周董天涯过客MV的取景地??乌镇有着六千年悠长历史被称为中国zui后的枕水人家是电视剧似水流年取景地[栗子R]规模?周庄占地0.4平方公里商业化适中也有特色民俗文创建议游玩时长半天??西塘占地1.04平方公里商业化重合度高旅拍quan国小吃街居多有酒吧街建议游玩时长1晚?白天半天??乌镇占地6.9平方公里有西栅和东栅两区规模集团化的统一管理所以配套也会更齐全商业化程度适中适合度假建议游玩时长1.5天[仙女R]景观图1-5?周庄内敛从容如诗人笔下的深闺少女古建筑群保留着明清时期的风貌白墙黛瓦以河成街河埠廊坊深宅大院古朴幽静满足了江南小桥流水人家的温婉印象??西塘生活烟火气息更浓如小家碧玉秀慧精致建筑以明清的廊棚古弄建筑为特色水质清澈通透??乌镇颇有大家闺秀之气建筑雕梁画栋石巷老屋木墙黑瓦染坊水上集市流露着洒脱江湖豪气??门票?周庄100??西塘?9517:00后免门票??乌镇西栅150东栅110套票190[啤酒R]夜景图6?周庄晚上有灯光秀不适合夜宿??西塘晚上有酒吧街文化个人体验感一般特色不大??乌镇白天去东栅下午去西栅夜晚灯笼高挂热闹也有宁静的独处之地??图6还放了苏州的七里山塘夜景给大家围观[举手R][种草R]总结推荐指数乌镇综合性高周庄西塘可根据自己行程时间选择时间紧可不去西塘时间充裕早上先去周庄下午5点后去西塘第二天下午去乌镇我是半路胖胖一个半路开始出发一个月一半在路上一半在拼命工作的斜杠青年,8,"背景,规模,景观,门票,夜景,周庄,西塘,乌镇,商业化,特色民俗文创,千年古镇,历史,枕水人家,古建筑群,明清时期风貌,白墙黛瓦,河成街,河埠廊坊,深宅大院,小桥流水,烟火气息,廊棚古弄建筑,水质清澈,雕梁画栋,石巷老屋木墙黑瓦,染坊,水上集市,灯光秀,酒吧街文化,灯笼高挂",,,,,,,,,,,,,,
乌镇的的茶馆太有江南的风韵了,9,"乌镇,茶馆,江南,风韵",,,,,,,,,,,,,,
你一句春不晚我就到了真江南一直对乌镇魂牵梦萦这次终于圆梦啦回来就迫不及待整理这份攻略希望能帮到想去乌镇的宝子们???交通指南1. 飞机周边萧山国际机场上海浦东国际机场上海虹桥机场都有到乌镇的机场大巴车程大概1.5小时2. 高铁坐到桐乡高铁站出站后乘K282公交到乌镇汽车站再换乘K350就能到东栅或西栅景区3. 自驾自驾很方便景区有多个停车场停车不愁??门票??? 西栅150元/人? 东栅110元/人? 联票190元/人学生可享半价优惠??建议时间有限的话不用买联票一天逛不完两个景区第2??天就作废啦除非入住景区内可多次进出??打卡景点??西栅景区1. 木心美术馆门票20元周一闭馆文艺青年必打卡这里有木心先生的众多画作和文学作品虽然馆内不能拍照但能让你沉浸式感受艺术的魅力2. 老邮局复古氛围感拉满从前车马很慢书信很远一生只够爱一个人在这儿寄张明信片给未来的自己或远方的朋友超有意义3. 草木本色染坊蓝印花布随风飘扬拍照出片还能体验传统扎染技艺带走一份纪念品4. 白莲塔乌镇标志之一登上塔顶可以俯瞰整个西栅景区的美景尤其是傍晚时分落日余晖洒在水面上美到让人失语??东栅景区1. 茅盾故居文学爱好者必打卡走进课本里的记忆感受一代文豪的成长足迹2. 宏源泰染坊和西栅染坊不同这里更具生活气息可以看到蓝印花布从制作到晾晒的全过程3. 皮影戏馆上午9:00 - 11:00下午13:00 - 15:00有表演每半小时一场近距离感受非遗文化的魅力很有意思??拍照小技巧1. 穿搭建议穿浅色系的古风服装和水乡的氛围更搭分分钟拍出古风美照2. 道具准备一把油纸伞或透明雨伞既实用又能当拍照道具出片率??3. 拍摄时间清晨和傍晚的光线柔和拍出来的照片氛围感十足晚上的西栅灯火阑珊也是拍照的好时机哦,9,"乌镇, 春不晚, 真江南, 圆梦, 木心美术馆, 文艺青年, 老邮局, 复古氛围, 明信片, 草木本色染坊, 蓝印花布, 扎染技艺, 白莲塔, 落日余晖, 茅盾故居, 文学爱好者, 宏源泰染坊, 生活气息, 皮影戏馆, 非遗文化, 浅色系, 古风服装, 油纸伞, 清晨, 傍晚, 灯火阑珊",,,,,,,,,,,,,,
海宁这座历史悠久的城市自古以来便是杭州府县中的佼佼者被誉为杭州的前庭上海的后院海宁盐官不仅是世界著名的观潮胜地还保留着明清民国时期的古建筑徐志摩王国维等名人的故居也坐落于此当年乾隆六下江南其中有四次都是来的这里江南烟雨小桥流水古城城墙江南园林古寺庙宗祠古宅每一处都是一个故事的起点每一步都是一段历史的回响盐官潮墙游客中心前的水幕平时9:00开始15分钟一场/ 周末半小时一场不用进景区不用买门票进去门口就能看飞流直下三千尺疑是银河落九天潮墙分布在两边有不少拍照的人想要看好看的照片建议在表演开始前就占好位置观潮胜地公园被称为观潮第1圣地是语文书上推荐的观潮点看天下奇观一线潮可以根据每日潮汛的时间 提前半个小时去选一个好的观潮角度盐官观潮胜地公园门票1530元其他观潮点均免费涌潮时间动态变化关注钱塘江观潮小程序获取潮汐预报海神庙江南最大的敕建官式建筑遗存海神庙是祀传说中的浙海之神殿内主要供奉钱镠王参观推荐下午三四点因为这个点的光影叠配合宫墙红有一种独特的寂静美孔庙学宫从隋朝延续至今的遗迹见证海宁的兴衰变迁一进孔庙学宫首先映入眼帘的是红墙拍照会特别出片从海神庙步行10分钟就能到达孔庙学宫王国维故居取名为娱庐王国维称其为西城老屋建筑风格基本为砖木结构整体显得朴实无华现在是国家重点保护文物交通方式自驾导航到浙江嘉兴海宁潮乐之城六号停车楼停车楼目前免费很大而且3楼有充电桩高铁到海宁西站出站后打车到游客中心住宿如果想在这边玩两天可以在景区内住一晚听着潮声入梦,9,"海宁, 历史悠久, 杭州府县, 观潮胜地, 明清民国时期, 古建筑, 徐志摩, 王国维, 名人故居, 江南烟雨, 小桥流水, 古城墙, 江南园林, 古寺庙, 宗祠, 古宅, 故事的起点, 历史的回响, 盐官潮墙, 水幕, 飞流直下三千尺, 疑是银河落九天, 潮墙, 观潮胜地公园, 天下奇观一线潮, 潮汐预报, 海神庙, 浙海之神, 钱镠王, 孔庙学宫, 隋朝遗迹, 红墙, 娱庐, 西城老屋, 砖木结构, 朴实无华, 国家重点保护文物, 浙江嘉兴海宁潮乐之城六号停车楼, 免费停车, 充电桩, 海宁西站, 听着潮声入梦",,,,,,,,,,,,,,
[大笑R]线路?day1  杭州13:30-16:00 抵达[飞机R]杭州萧山-??酒店17:00- 19:00南宋御街-河坊街?day2 杭州上午9:00-10:00 ??打车到法喜寺10:00-11:30 观光车去飞来峰-灵隐寺下午11:30-16:00 公交车1314??坐到苏提南口-摇撸船??-太子湾-雷峰塔回到苏提坐观光车-曲院风荷-??西冷桥-白堤-断桥??曲院风荷到断桥这一段至少2公里不想走可摆渡车直接坐到断桥[派对R]16:00-19:00三潭印月??断桥沿路往前有游船码头坐船去回来往湖滨方向坐- 银泰in77?day3 杭州-乌镇7:30-9:30 ??顺风车去乌镇有行李也可以直接去但一定要从1号游客中心进入那里才可以寄存行李下午-晚上乌镇东栅-西栅[萌萌哒R]我是直接去了西栅但其实时间完全足够不怕累可以买联票先逛东栅在西栅?day4  乌镇-苏州10:20-12:30 苏州建议大家能尽早出门最好我出发晚路上堵车了而且不走高速又累又费时[失望R]下午1230-1400吃饭-入住酒店[得意R]1400-1600 租旗袍60r/天-拙政园[自拍R]1700-1900平江路有茶颜[哇R]?day5 苏州上午七里山塘夜景更好看想看夜景可以和day4的平江路换换下午 无锡硕放回程??酒店住宿建议可以看地图选???住离你想去的景点交通方便/不远的地方居住感受酒店我在三个地方住的都还好各有各的毛病[汗颜R]250-350元/晚不做推荐啦如果你按照上面的攻略走位置建议可参考~??杭州凤起路/武林广场/龙翔桥地铁站附近交通都非常便利??乌镇可以住乌镇里面里面所有的酒店民宿青旅都是统一管理包门票不限次数进出乌镇乌镇戏剧节期间酒店涨价且不含门票且全程行李托管完全不用操心住外面民宿就很多了大家可以对比多几个看着挑??苏州我是住平江路去景点非常方便拙政园平江路走路就能到,8,古镇原貌,商业水平不高,童年的梦,,,,,,,,,,,,
