评论,打分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有多少人此前听过蟠龙古镇呢好在它身在大上海身在大虹桥自有大能见度有大开发商青睐有大胆的实践机会当摇橹船照旧穿过石桥的桥洞再抬头岸上的酱园染坊绸缎庄已经变成蓝瓶咖啡再好的设计都不如延续原有的自然走势继承原有的活动尺度遵循原有的运行逻辑这是一条此前少有人走的捷径古镇本来就因商贸而兴蟠龙天地放大并更新了这一属性以一种商业上悖时的面貌呈现出古镇先锋的形式也许代表了某种趋势和方向一如二十年前的新天地一样超前的手笔古镇难做怎么做都会有人批评商业难做怎么做都要面对下行压力或许蟠龙天地没有达成高预期但至少给我们展示了古镇保护商业开发的另一种可能在这个存量为主的时代古镇项目不但不会是增量反而是引人叹息的减量拖动时间与地域的比例尺古镇古村每天都在大量消失批量化的复制粘贴已然成为过去式-?? 蟠龙天地是2014年上海首批启动的城中村改造标杆项目之一包括公共绿地水乡古镇商业空间和居住区等三大功能空间?? 蟠龙的历史最早可以追溯到距今 1400年前的隋朝时期是青浦乃至江南地区较早形成的市镇之一因水而兴的蟠龙旧时商业繁盛是一个典型的江南富庶水乡?? 地铁17号线蟠龙路站,7,"古镇, 商贸, 设计, 自然走势, 活动尺度, 运行逻辑, 商业, 悖时, 先锋, 趋势, 方向, 古镇保护, 商业开发, 存量, 增量, 减量, 时间, 地域, 比例尺, 批量化, 复制粘贴, 城中村改造, 公共绿地, 水乡古镇, 商业空间, 居住区, 隋朝, 江南, 富庶水乡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白天的蟠龙天地太太太好逛了真的做到宠物友好会握手的帅气德文穿Lululemon和各式小裙子的狐B超级可爱会微笑的柴犬啾啾/JoJo,9,"蟠龙天地,宠物友好,帅气德文,小裙子,狐B,柴犬,啾啾,JoJo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漾应的火塘蟠龙天地店是继南京老门东无锡运河汇之后我们受邀设计的第三家店也是火塘在上海的首店蟠龙天地由瑞安地产开发历经五年打造承载了1400余年的深厚历史也融合了江南水乡与海派文化的独特韵味成为上海的时尚新地标YOUNG INNS FIRE PUB盘龙天地店是继南京老门洞和无锡运河码头之后上海首家FIRE PUB店的设计盘龙天地由水安陆公司开发历时5年历时1400多年它将江南水乡的独特魅力与上海的文化和谐地融合在一起确立了自己作为上海新时尚地标的地位立面facade?? Mata Okawa漾应的火塘诞生于疫情期间火塘的核心是音乐与篝火音乐是全世界共同的语言没有任何语言能像音乐一样诗意地吟唱出人类的历史和文化它能够跨越社会经济与身份的差异将所有不同年龄段和不同文化背景的人联系在一起点燃篝火如同在寒冬的夜晚点燃光明与希望成为了很多年轻人心灵的港湾剖透视剖面透视?? SZ-建筑师青年旅馆的篝火PUB在疫情期间出现其核心围绕音乐和篝火音乐是一种人人都能理解的语言没有其他形式的表达能像它一样诗意地传达人类的历史和文化它具有弥合社会经济和身份差距的能力将不同年龄和不同文化背景的人团结在一起点燃篝火就像为寒冷的夜晚带来光明和希望为众多年轻人的精神提供庇护立面概览立面概述?? 马塔奥卡瓦我们力求避免传统商业演出空间的繁复装饰与夜店属性通过声学空间的原型探索及自然材料的使用增强火塘特有的文艺性和精神性使其成为供人疗愈心灵的场所及精神文化空间我们的目标是避开传统商业表演场所的精致装饰和夜总会特色通过对声学空间原型的探索和自然材料的使用我们寻求提升FIRE PUB独特的艺术和精神属性从而将其转变为疗愈的避风港和精神文化充实的空间立面中间的混凝土柱一个位于中心位置的混凝土柱?? Mata Okawa店铺为一个东西向两开间的矩形空间而南北向的门面居中位置被一根混凝土柱一分为二整体性被破坏对于开业后客人视觉体验有较大影响店面采用从东向西延伸的长方形布局设有两个海湾其南北立面被位于中心的混凝土柱分隔开来这破坏了整体视觉的凝聚力极大地影响了顾客进入店内时的初始印象,7,"古镇原貌,商业水平不高,童年的梦",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟠龙天地爆改春日限定江南人潮退散版,4,"蟠龙天地,爆改,春日,限定,江南,人潮,退散",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东风夜放花千树更吹落星如雨新年的气氛如期而至江南百景万家灯火愿这世界赠与我们从容与感恩祝大家过个好年好运连连The spirit of the Chinese New Year has arrivedHundreds of lanterns light up the Jiangnans skyWishing the world give us more grace & gratitudeand wish you all a good year and good luck??上海蟠龙天地,10,"新年, 气氛, 江南, 灯火, 世界, 从容, 感恩, 好运",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
休闲遛狗喝茶好去处,8,"休闲,遛狗,喝茶,好去处",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
???地址青浦区蟠鼎路123弄近地铁17号线蟠龙路站??推荐时间周末10:00-20:00夜景超美??交通地铁17号线蟠龙路站3号口步行5分钟??停车P1/P2停车场免费3小时周末建议10点前到??必拍打卡点1??烟雨长廊建议穿新中式/浅色系下午4点光影最佳2??蟠龙十景香花桥程祠故里超出片夜景灯光超梦幻3??余德耀美术馆二楼露台拍全景近期有山水与科技特展门票504?? 萌宠乐园狗狗社交场超大草坪+宠物饮水机铲屎官必带毛孩子来撒欢偶遇网红柯基团?? 吃货指南??Blue Bottle蓝瓶咖啡古镇里的极简风咖啡馆推荐拿铁+华夫饼二楼窗边座位秒出ins风大片??平成屋日式烧鸟灯笼墙+榻榻米仿佛穿越到京都我的前半生同款提灯和明太子西葫芦必点??菽水小馆素食主义禅意庭院风菌菇汤面鲜掉眉毛人均30+性价比超高!?弗兰克西餐厅?Galla R by Ribone花园Brunch沿河坐落河景超赞来杯咖啡惬意享受下午茶时光?? 小众购物清单??猫的天空之城限定蟠龙明信片+撸猫??木墨手工木质家居香薰蜡烛控必入??江南百景图POP-UP游戏周边限量发售??布兰兔少女心爆棚的伴手礼清单???? 小贴士? 周末人多建议早到or工作日傍晚来? 穿平底鞋石板路走久会累? 关注官方号经常有汉服体验/手作活动还不知道周末去哪儿快快收藏周末说走就走 ?????,9,"烟雨长廊,新中式,浅色系,光影,蟠龙十景,香花桥,程祠故里,夜景灯光,余德耀美术馆,山水与科技特展,萌宠乐园,狗狗社交场,超大草坪,宠物饮水机,Blue Bottle蓝瓶咖啡,古镇,极简风,拿铁,华夫饼,ins风大片,平成屋,日式烧鸟,灯笼墙,榻榻米,提灯,明太子西葫芦,菽水小馆,素食主义,禅意庭院风,菌菇汤面,弗兰克西餐厅,Galla R by Ribone,花园Brunch,河景,猫的天空之城,限定蟠龙明信片,木墨,手工木质家居,香薰蜡烛,江南百景图POP-UP,游戏周边,布兰兔,少女心爆棚,伴手礼",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数屋檐滴落的雨??看游船在窗框里划出涟漪??,8,"屋檐,雨,游船,窗框,涟漪",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥乐齐蟠龙天地这卫生也没人打扫环境真差差评[石化R][石化R][石化R] 垃圾满天飞坐在这里半个多小时没看到一个工作人员或者保洁出来打扫,2,"卫生,环境,工作人员,保洁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这里就像是一个充满惊喜的宝藏盒子?? 历史悠久的古建筑与现代的潮流元素完美融合既有传统江南水乡的温婉又有大都市的时尚气息,10,"惊喜,宝藏盒子,历史悠久,古建筑,现代,潮流元素,完美融合,传统,江南水乡,温婉,大都市,时尚气息",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海蟠龙天地位于青浦区是瑞安集团打造的城市微度假目的地集商业住宅酒店绿地于一体总占地面积为752亩自2023年4月正式开业这次选择工作日前去蟠龙古镇有了比较全面的体验??蟠龙古镇有多大网上的攻略有些说足够玩半天有些说1小时都嫌多主要原因在于其宣传的752亩地其实包括了商业住宅酒店绿地所有这些但真正的蟠龙古镇商业街区估计只有100亩左右街区本身改建得相当出色走走看看2-3个小时还是很悠闲的??蟠龙古镇几点开门网上查询显示10点开门但是蟠龙古镇本身不收门票一早去当然可以进只不过古镇里的店铺大多都没有开麦当劳是7点开门是整个景区最早的其次是Manner和Seesaw在7:30开门再之后是几家简餐店稍早些开门景区内大部分商店和餐厅是10点至11点开门??过早到景区可以做什么10点之前的景区里没什么人气店也没开要么看看景区没有苏醒的样子要么去周边闲逛了解民生这段时间会感觉得到远处高架的声音可能是景区比较安静随着10点后店铺开始运营游客络绎不绝整个景区也进入了状态也更容易让人感受到蟠龙古镇的美景区的水很清很绿维护得很用心??景区的美食蟠龙古镇的美食和其他古镇完全不同并不是传统印象中的那套近20家上海首店超过60家区域首店汇聚在这里这里的环境虽是古镇但店铺都很时尚是能代表各国各地的特色菜系并且几乎不重复查询大众点评发现很多餐厅都在该区域排名数一数二选品非常优秀这种业态相比传统古镇其实和EKA天物更相似一个是老厂房改建一个是古镇古建筑改建??景区的停车蟠龙古镇本身就有多个停车场8元一小时P1P2离商业街区入口最近用餐积分满100元可以兑换一个小时一天最多兑换两个小时加赠送一个小时免费停车消费200元就可以停车三小时古镇翻新着实不易一开始以为有750多亩心中预期很高到了后发现商业街区要小很多有点落差调整好预期后再次参观就觉得蟠龙古镇确实有它的一招鲜能在目前上海第几个古镇中独树一帜有它的道理[赞R] 古镇需要有点人气在又不是人山人海的时候最为美妙,1,"古镇原貌,商业水平不高,童年的梦,改建出色,悠闲,水清,维护用心,美食丰富,店铺时尚,特色菜系,环境优美,停车方便,一招鲜,独树一帜",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
休闲遛狗喝茶好去处,8,休闲,遛狗,喝茶,好去处,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海蟠龙天地位于青浦区是瑞安集团打造的城市微度假目的地集商业住宅酒店绿地于一体总占地面积为752亩自2023年4月正式开业这次选择工作日前去蟠龙古镇有了比较全面的体验??蟠龙古镇有多大网上的攻略有些说足够玩半天有些说1小时都嫌多主要原因在于其宣传的752亩地其实包括了商业住宅酒店绿地所有这些但真正的蟠龙古镇商业街区估计只有100亩左右街区本身改建得相当出色走走看看2-3个小时还是很悠闲的??蟠龙古镇几点开门网上查询显示10点开门但是蟠龙古镇本身不收门票一早去当然可以进只不过古镇里的店铺大多都没有开麦当劳是7点开门是整个景区最早的其次是Manner和Seesaw在7:30开门再之后是几家简餐店稍早些开门景区内大部分商店和餐厅是10点至11点开门??过早到景区可以做什么10点之前的景区里没什么人气店也没开要么看看景区没有苏醒的样子要么去周边闲逛了解民生这段时间会感觉得到远处高架的声音可能是景区比较安静随着10点后店铺开始运营游客络绎不绝整个景区也进入了状态也更容易让人感受到蟠龙古镇的美景区的水很清很绿维护得很用心??景区的美食蟠龙古镇的美食和其他古镇完全不同并不是传统印象中的那套近20家上海首店超过60家区域首店汇聚在这里这里的环境虽是古镇但店铺都很时尚是能代表各国各地的特色菜系并且几乎不重复查询大众点评发现很多餐厅都在该区域排名数一数二选品非常优秀这种业态相比传统古镇其实和EKA天物更相似一个是老厂房改建一个是古镇古建筑改建??景区的停车蟠龙古镇本身就有多个停车场8元一小时P1P2离商业街区入口最近用餐积分满100元可以兑换一个小时一天最多兑换两个小时加赠送一个小时免费停车消费200元就可以停车三小时古镇翻新着实不易一开始以为有750多亩心中预期很高到了后发现商业街区要小很多有点落差调整好预期后再次参观就觉得蟠龙古镇确实有它的一招鲜能在目前上海第几个古镇中独树一帜有它的道理[赞R] 古镇需要有点人气在又不是人山人海的时候最为美妙,8,"蟠龙古镇, 改建, 悠闲, 水, 清, 绿, 维护, 美食, 上海首店, 区域首店, 特色菜系, 选品优秀, 停车场, 免费停车, 翻新, 一招鲜, 人气",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五一假期不想挤热闹去蟠龙天地看江南风物季错峰去看一看蟠龙的石桥牌坊戏台怎样被非遗盘扣包裹看看10米的巨型盘扣龙船廊桥下的市集微风徐徐坐在开满蔷薇花的河边喝杯咖啡看船来人往惬意时光??4.26-6.10江南风物季?织造篇,9,"石桥,牌坊,戏台,非遗盘扣,巨型盘扣龙船,市集,蔷薇花,河边,咖啡,船来人往,惬意时光,江南风物季",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
听两脚兽们说今天毛孩子都玩的超开心??坐小车??荡秋千??走红毯???本周末必须C位出道安排迫不及待康康毛孩子的今日美照啦?? 欢迎大家明天继续嗨皮继续来玩儿?4.19-4.20 11:00-18:00??高地广场/萌宠乐园,9,"毛孩子,小车,秋千,红毯,美照,萌宠乐园",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6年前来蟠龙路和诸光路地铁站的时候这里到处都是破破烂烂的地方和空地连个便利店都很难找到的那种现在突然多了好多写字楼住宅楼甚至还有一个新的景点-蟠龙古镇[哭惹R][哭惹R][哭惹R] 人山人海而且特别漂亮这里以前明明就是一块空地[惊恐R][惊恐R][惊恐R]我全程震惊脸[石化R][石化R][石化R]怀疑自己进入了平行时空,8,"人山人海,特别漂亮",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞安首个城市微度假项目-蟠龙天地将23万方绿地和江南水乡文化浸润出古镇里的新天地把mall搬进古镇让现代邂逅历史打造了新中式江南古镇商圈[清单R]地点蟠龙天地??地址青浦区 蟠鼎路123弄8号??交通地铁17号线 蟠龙路站 2号口 过天桥就到???停车有5个停车场8元/小时?时间10:00 -22:00??门票无需门票[彩虹R]古韵蟠龙新十景Culture Walk古寺鸣钟 [向右R]十字街 [向右R]香花桥影 [向右R]溪桥渔泊 [向右R]烟雨廊桥 [向右R]程祠故里 [向右R]龙江古渡 [向右R]曲水萦居 [向右R]蟠龙湾 [向右R]艺海听竹[烟花R]推荐龙江古渡50元/人单程15分钟200元/船最多容纳6人[彩虹R]文艺余德耀美术馆将自然与传统现代融为一体定期会呈现高品质的艺术展览有本馆和古镇中的分馆雪竹轩[彩虹R]亲子[气球R]童心乐园超大亲子乐园蹦床滑梯攀爬附近还有滑板公园[气球R]法布尔花园观察昆虫标本还能亲手做一个自然花园标本[气球R]喷泉广场夏天适合小朋友们嬉水[气球R]骑乐马术可以体验马术课以及童趣互动的马房课[彩虹R]休闲[咖啡R]沿河咖啡馆BLUE BOTTLESEESAWBOBOLEELOKAL申井冰室[咖啡R]今日宜喝茶TEA' STONEIDT'EA 宋明客厅[咖啡R]周末有热闹的蟠龙水集[彩虹R]美食[太阳R]中餐厅潮桔桔西塔老太太苏小柳如一鲍鱼鸡平成屋肥汁米兰丰和日丽等[太阳R]西餐厅兰巴赫粉红汉堡TapaTapaBAKER & SPICE,9,"古镇,新天地,mall,历史,新中式江南古镇,商圈,绿地,江南水乡文化,古韵蟠龙新十景,古寺鸣钟,十字街,香花桥影,溪桥渔泊,烟雨廊桥,程祠故里,龙江古渡,曲水萦居,蟠龙湾,艺海听竹,龙江古渡,余德耀美术馆,雪竹轩,童心乐园,法布尔花园,喷泉广场,骑乐马术,沿河咖啡馆,BLUE BOTTLE,SEESAW,BOBOLEE,LOKAL,申井冰室,今日宜喝茶,TEA' STONE,IDT'EA,宋明客厅,蟠龙水集,潮桔桔,西塔老太太,苏小柳,如一鲍鱼鸡,平成屋,肥汁米兰,丰和日丽,兰巴赫,粉红汉堡,TapaTapa,BAKER & SPICE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工作日人不是特别多天气也很好走走逛逛吃个午餐开了很多店挺有意思的居然还有话梅,8,"工作日,人不是特别多,天气也很好,走走逛逛,吃个午餐,开了很多店,挺有意思,居然还有话梅",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怎么没有刷到别人发啊[生气R][生气R][生气R]开始我以为是古镇呢结果除了外观像古镇其他完全不搭嘎啊真的又好逛又好吃停车或者坐地铁都巨方便啊啊啊[哇R][哇R][哇R]去了还想再去吃吃喝喝湖边吹吹风真的太舒服啦..最初是因为想吃麻六记顺便可以逛逛后面发现实在太宝藏了[暗中观察R][暗中观察R][暗中观察R]随机买的霓裳茶舞出奇的清爽l椿的食材更是爆打苏州人均一千多的日料晚上吃完妥妥的意满离??????..??上海蟠龙新天地??17号线 蟠龙路,9,"好逛,好吃,停车,地铁,方便,湖边,吹风,舒服,麻六记,霓裳茶舞,l椿,食材,日料",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时尚和古镇融合的很完美花园里的商场这个商场很多餐厅都对宠物友好最近有点喜欢上了泰国菜这家露台餐厅MUM LIKES 风景很好环境也不错东西也好吃虽然很多感觉都是预制菜服务员都是年轻的小哥哥临走还问我要不要虾片给我装一袋打包带走真的是有点受宠若惊里面餐厅巨多夜景也是真的好美对了里面有一个集市可以逛逛有卖水果小吃点心饰品等等还有一个马场记得吃东西或者买东西的发票去马场斜对面的服务中心让她给你积分可以停车使用哦,1,"时尚,古镇,花园,商场,餐厅,宠物友好,泰国菜,MUM LIKES,风景,环境,预制菜,服务员,小哥哥,虾片,露台,夜景,集市,水果,小吃,点心,饰品,马场,发票,服务中心,积分,停车",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漫无目的地闲逛 seize the moment,6,"漫无目的,闲逛,seize,the,moment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我的快乐又回来了就在蟠龙天地不过早上10:00就有人排队了[抓狂R]我的快乐只配在工作日有周末人太多拍是挤不进去,4,"快乐, 蟠龙天地, 工作日, 周末, 人太多",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刚发现上海这个神仙地方蟠龙天地真的太太太适合周末放松了?? 推荐理由??江南水乡+现代美学小桥流水白墙黛瓦但又有超多艺术装置和网红店古今碰撞超有feel??人少景美比起外滩武康路这里真的清净很多拍照不用抢机位??逛吃天堂从%Arabica到本地小吃还有文艺手作店根本停不下来??遛娃/宠友好超大草坪儿童乐园带娃放电一整天没问题?? 必打卡点??烟雨廊桥傍晚灯亮时绝美仿佛穿越回古代??滨河咖啡店点杯咖啡坐看游船氛围感直接拉满?? 穿搭建议浅色系/新中式和景超配?? 地址青浦区蟠鼎路123弄?? 交通17号线蟠龙路站步行10分钟姐妹们快冲这里真的能待一整天,1,"江南水乡,现代美学,小桥流水,白墙黛瓦,艺术装置,网红店,古今碰撞,人少景美,清净,拍照,逛吃天堂,%Arabica,本地小吃,文艺手作店,遛娃,宠友好,超大草坪,儿童乐园,烟雨廊桥,傍晚灯亮,穿越回古代,滨河咖啡店,游船,氛围感,浅色系,新中式",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
说到上海蟠龙天地的中式生活美学那可真是把老祖宗的优雅和年轻人的潮玩结合得超有感觉比如你逛着逛着前一秒还在明清老宅改建的茶馆里捧着青花瓷杯喝茶下一秒拐个弯就能撞见网红咖啡店玻璃房子外头就是小桥流水[流汗R]最绝的是他们把江南水乡的烟火气玩出了新花样早上去非遗工坊学做蓝印花布中午在蟠龙市集啃着青浦本地阿婆现蒸的定胜糕下午还能带娃去马场骑马晚上直接坐在百年香花桥边看水幕光影秀一天过得像在古镇剧本杀里打卡不同副本[哇R]为啥专门挑蟠龙天地当案例呢就因为它根本不像普通商场啊别的商业项目可能塞满连锁品牌但这里直接把50万平米土地搞成了文化主题乐园本期CM带大家深入了解上海蟠龙天地如何文化焕新呈现极致中式美学[仙女R]上海蟠龙天地项目背景介绍[仙女R]千年蟠龙古镇的历史底蕴[仙女R]历史古镇的现代化再生[仙女R]艺术性装置与现代元素[仙女R]江南非遗与市井文化的复兴[仙女R]活动IP新集打造[仙女R]夜间文化消费场景[仙女R]小众品牌与首店经济的聚集地[仙女R]原住民与社区记忆的延续说白了蟠龙天地就像个会赚钱的博物馆让你掏钱消费时还觉得自己在传承文化这波中式美学生意经不服不行,10,"中式生活美学,老祖宗的优雅,年轻人的潮玩,明清老宅改建的茶馆,青花瓷杯,网红咖啡店,小桥流水,江南水乡的烟火气,非遗工坊,蓝印花布,蟠龙市集,定胜糕,马场骑马,百年香花桥,水幕光影秀,古镇剧本杀,文化主题乐园,千年蟠龙古镇的历史底蕴,历史古镇的现代化再生,艺术性装置与现代元素,江南非遗与市井文化的复兴,活动IP新集打造,夜间文化消费场景,小众品牌与首店经济的聚集地,原住民与社区记忆的延续",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挺美一小镇晴天的景很出片,8,"美,小镇,晴天,景,出片",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
剥离了装饰和风格一座建筑会呈现怎样的状态??装饰就是罪恶阿道夫路斯相比于西方过去各种柱式拱券以及中国古代的斗拱脊兽彩画等当下的极简风格建筑充斥着玻璃幕墙极简风格乍一看装饰好像真的变少了但是事实真的是这样吗本篇不妨我们将视角落位到上海蟠龙天地的集z坊它的设计灵感来源于法国建筑理论家劳吉尔Marc-Antoine Laugier所提出的所有建筑的基础原型都是原始木屋 (primitive hut)这种剥离了装饰与风格的原始木屋建立了人与自然最基本的关系它为人类提供了庇护场所并与自然互相连接这与集z坊想要传达的理念相契合天然纤维材质是生活与自然的纽带置入式的木屋结构塑造了融合居住与生活的精神空间为产品提供了展示平台那么正在关注此贴的建筑师和正在学设计的你我关于这一话题你有什么看法室内设计如恩设计研究室项目地点上海青浦完成时间2023年4月建筑面积200平方米Woven Moonlight店110平方米集z坊蟠龙天地店,8,古镇原貌,商业水平不高,童年的梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
